"Note: Do not change the headings in this file, they are used to detect problems"		
Status Bar Message	Tool Tip	Chance
A kavicsolt közút úttípus kiválasztása	Kavicsolt közút	
A kõvel kirakott típusú út kiválasztása	Kõvel kirakott utak	
Az 1x1-es ecset kiválasztása	1x1-es ecset	
A 2x2-es ecset kiválasztása	2x2-es ecset	
A 4x4-es ecset kiválasztása	4x4-es ecset	
Kerületes ecset kiválasztása	Kerületes ecset	
Semleges játékos beállítása		
A %s játékos kiválasztása		
Földút kiválasztása	Földút	
Sziklás terep kiválasztása	Szikla	
A kiválasztott objektum törlése	Törlés	
A kiválasztott objektum tulajdonságainak megtekintése	Tulajdonságok	
Háló bekapcsolása	Haló	
Az összes objektum megjelenítése 	Összes objektum	
Az 1x1-es ecset kiválasztása	1x1-es ecset	
A 2x2-es ecset kiválasztása	2x2-es ecset	
A 4x4-es ecset kiválasztása	4x4-es ecset	
Kerületes ecset kiválasztása	Kerületes ecset	
A térképen elõfordulható hibák ellenõrzése	Térkép ellenõrzése	
A térkép elemeinek animálása		
A program beállításainak módosítása		
A jelenlegi térkép szövegeinek exportálása egy szöveges fájlba		
Egy szöveges fájl importálása a jelenlegi térképbe		
A kiválasztott objektum leírása		
Az utoljára megadott típusú objektum keresése		
Az utoljára megadott típusú objektum keresése -visszafelé		
Távolítás a térképen	Távolít	
Közelítés a térképen	Közelít	
Az eszköztár megjelenítése vagy elrejtése 	Eszköztár kapcsoló	
Az állapotsor megjelenítése vagy elrejtése	Állapotsor kapcsoló	
Térkép elemek megjelenítése vagy elrejtése	Térkép elemek kapcsoló	
Akadályok automatikus elhelyezése	Akadályok	
1x1-es körülhatárolt ecset	1x1-es körülhatárolt ecset	
2x2-es körülhatárolt ecset	2x2-es körülhatárolt ecset	
4x4-es körülhatárolt ecset	4x4-es körülhatárolt ecset	
körülhatárolt-terület radír	körülhatárolt-terület radír	
1x1-es nagysugarú ecset	1x1-es nagysugarú ecset	
2x2-es nagysugarú ecset	2x2-es nagysugarú ecset	
4x4-es nagysugarú ecset	4x4-es nagysugarú ecset	
nagysugarú-terület radír	nagysugarú-terület radír	
1x1-es körülhatárolt-terület radír	1x1-es körülhatárolt-terület radír	
2x2-es körülhatárolt-terület radír	2x2-es körülhatárolt-terület radír	
4x4-es körülhatárolt-terület radír	4x4-es körülhatárolt-terület radír	
körülhatárolt-terület radír	körülhatárolt-terület radír	
1x1-es nagysugarú radír	1x1-es nagysugarú radír	
2x2-es nagysugarú radír	2x2-es nagysugarú radír	
4x4-es nagysugarú radír	4x4-es nagysugarú radír	
nagysugarú-terület radír	nagysugarú-terület radír	
Akadályok elhelyezése a megjelölt területeken	Akadályok elhelyezése	
A folyó radír kiválasztása	Folyó radír	
Az út radír kiválasztása	Út radír	
Válasszd ki a hegyvidéki tereptípust	Hegyvidék	
Helyezzen el hegyvidéki tárgyakat	Hegyvidéki tárgyak	
Válassza ki a puszta tereptípusát	Pusztaság	
Helyezzen el puszta objektumokat	Puszta objektum	
