	Seer Hut Variant 1	Seer Hut Variant 2	Seer Hut Variant 3	Quest Guard Variant 1	Quest Guard Variant 2	Quest Guard Variant 3	Quest Gate Variant 1	Quest Gate Variant 2	Quest Gate Variant 3
Skill quest log	Tanulj %s-et/át/ot és látogasd meg %s-t.	Tanulj %s-et/át/ot és látogasd meg %s-t.	Tanulj %s-et/át/ot és látogasd meg %s-t.	Tanulj %s-et/át/ot, hogy kinyisd a kaput.	Tanulj %s-et/át/ot, hogy kinyithasd a kaput.	Tanulj %s-et/át/ot, hogy kinyisd a kaput.	Tanulj %s-et/át/ot, hogy kinyisd a kaput.	Tanulj %s-et/át/ot, hogy kinyisd a kaput.	Tanulj %s-et/át/ot, hogy kinyisd a kaput.
Defeat hero quest	Valaha gazdag voltam és híres, de a szörnyûséges %s bukásomat okozta.  Elvesztettem földemet, címemet, és elvesztettem a családomat.  Kérlek szolgáltass igazságot a cselszövõnek.	Nagyon régen szerelmes voltam, de %s megölte a kedvesemett.  Kérlek pusztítsd el ezt a gonosz gazfickót, és akkor életem hátralevõ részében nyugodtan élhetnék, hogy kedvesem gyilkosa megbûnhõdött tettéért.	Kihajtottak otthonainkból a(z) %s.  Ha teszel róla hogy többé ne háborgassanak, nagyon hálásak leszünk.	A helyi õrök a hátuk mögött elterülõ földeket védik a %s pusztításától.  Nem engednek át senkit, amíg tart a fenyegetés.	Azért vannak itt õrök, hogy távol tartsák %s-t, egy hõst nagy hatalommal és ördögi szándékokkal az emberiség iránt.  Amíg nem gyõzik le senki nem mehet tovább.	A Királynõ azt akarja, hogy valaki leckéztesse meg %s-t, mivel súlyosan inzultálta Õt, vén kövér csoroszlyának nevezve Õt.  Amíg ez nem lesz meg, a kapuk zárva maradnak.	Egy durván elnagyolt portrét a kapura szögeznek, és van egy közlemény is alatta: "Adj egy %s fület az áthaladáshoz."	A Királynõ azt akarja, hogy valaki leckéztesse meg %s-t, mivel súlyosan inzultálta Õt, vén kövér csoroszlyának nevezve Õt.  Amíg ez nem lesz meg, a kapuk zárva maradnak.	A kapu mögül. egy öregember dugja ki az orrát, és azt motyogja: "Negyven évvel ezelõtt %s alatt szolgáltam, és azt a parancsot kaptam, hogy tartsam biztonságban ezt a kaput. Még le kell nyugodnom. Azt akarom, hogy valaki leckéztesse meg ezt a gazfickót!"
Defeat hero progress	Oh, bárcsak jobb híreket hoztál volna.  Fáj a szívem, hogy %s még szabadon kószál.	Kedvesem gyilkosa, %s még szabadon barangol a világban.	A %s még kint vannak és bánthatnak minket.  Amíg el nem mennek mi maradunk.	Az õrök még tartanak a %s-tól/tõl, így nem engednek át.	%s még szabadon rohangál.	%s még nem tanulta meg a leckét.  	%s még mindig kint van mindkét fülével épségben.	%s még nem tanulta meg a leckét.  	%s még meg kell tanítani, hogyan bánjanak a beosztottaikkal.
Hero defeated	Nem gondoltam volna, hogy ez a nap valaha is eljön!  %s nincs többé.  Mondd, elfogadod ezt jutalmul?	Most már talán folytathatom szomorú életem, hogy %s megbûnhõdött.  Ezért cserébe elfogadod ezt a jutalmat?	Végre visszatérhetünk otthonainkba, mert legyõzted a %s-at/et .  Elfogadod ezt hálánk jeléül?	Most, hogy elpusztítottad a %s-at/et, a fenyegetésnek vége.  Át akarsz menni?	Mióta %s-t legyõzték és nincs többé fenyegetés, az õrök átengedik az embereket.  Át akarsz menni most?	Megtanítottad %s-val/vel a leckét, így a Királynõ mindenkit átenged.  Át akarsz menni most?	A kapu kinyílik, ahogy közeledsz felé. Végül eldobhatod végre %s fülét – nem igazán volt öröm cipelni ezt a csúnya dolgot. Szeretnél átmenni?	Megtanítottad %s-val/vel a leckét, így a Királynõ mindenkit átenged.  Át akarsz menni most?	Az öreg zavartan motyog: "Tudod, csak eszembe jutott - a parancsnokom Buck Whiskeynose volt, nem %s... Remélem, nem mészároltad le szegény ördögöt? Gyerünk, menj át, ha akarsz.
Hero quest rollover	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)
Hero quest log	Gyõzd le %s-t %s jutalomért cserébe.	Gyõzd le %s-t %s-ért.	Gyõzd le %s-t %s-ért.	Gyõzd le %s-t, hogy kinyisd a kaput	Gyõzd le %s-t, hogy kinyisd a kaput	Gyõzd le %s-t, hogy kinyisd a kaput	Gyõzd le %s-t, hogy kinyisd a kaput.	Gyõzd le %s-t, hogy kinyisd a kaput	Gyõzd le %s-t, hogy kinyisd a kaput.
Defeat monster quest	%s lények fenyegetik %s területét.  Ha volnál olyan bátor, hogy legyõzd õket, gazdagon megjutalmaználak.	Egy csapat %s kiûzött minket otthonainkból.  Ha elûznéd õket, akkor hazamehetnénk, és nagyon megjutalmaznánk.	Hogy eljussak beteg anyámhoz, elõbb le kell gyõznöm a %s lényeket.  Én nem vagyok egy nagy harcos, de megjutalmazlak ha megtisztítod az utat.	Erathia Öves Lovagjai õrzik a kaput.  Csak közülük valót engednek át.  Hogy csatlakozz a rendhez, elõször le kell gyõznöd a %s-at/et a(z) %s régióban.	%s kóborolnak odakint.  Nem nyithatunk ajtót, amíg mind egy szálig el nem ûzték õket a környékünkrõl.	A mi ajtónk nem nyílik meg akárki elõtt.  Bizonyíthatod hûségedet, ha legyõzöd ellenségeinket, a %s-at.  Csak ezután engedünk át.	Erathia Öves Lovagjai õrzik a kaput.  Csak közülük valót engednek át.  Hogy csatlakozz a rendhez, elõször le kell gyõznöd a %s-at/et a(z) %s régióban.	Az itteni helyõrség rossz állapotban van, mivel a csapatok a közelmúltban keserves vereséget szenvedtek. A parancsnok bosszút követel a bántalmazóikon, és csak ezután enged át. Le kell gyõznöd a %s régió %s-át.	A mi ajtóink nem nyílnak ki senki elõtt. Bizonyítsd hûséged ellenségeink, a %s legyõzésével. Csak akkor engedünk át.
Defeat monster progress	Ne add fel.  Legyõzni a  %s lényeket nehéz feladat, de biztosan sikerrel jársz majd.	Még nem ûzted el a %s-okat.  Akkor még nem mehetünk haza.	Még mindig az utamban állnak a %s lények.  Kérlek siess, anyám napról napra betegebb.	Az Öves Lovagok még nem engednek át, mivel még nem gyõzted le a %s-at/et a %s régióban.	A %s még szabadon rohangálnak.	Még nem bizonyítottad hûségedet, mert nem gyõzted le a %s-at.  Hagyj minket.	Az Öves Lovagok még nem engednek át, mivel még nem gyõzted le a %s-at/et a %s régióban.	Az õrök továbbra sem engednek át, ezek szerint még nem hódítottad meg %s régió %s részét.	Még nem bizonyítottad hûségedet a %s legyõzésével. Hagyj minket békén!
Monster defeated	Végül legyõzted a %s lényeket, és a környék újra biztonságos!  Készen állsz arra, hogy elfogadd jutalmad?	A %s elmentek otthonainkból és így hazatérhetünk!  Elfogadod ezt a jutalmat?	Az út tiszta, nagyon köszönöm.  Fogadd el ezt hálám jeléül.	A %s legyõzése a %s régióban olyan hír ami gyorsan terjed.  Át akarsz menni, oh nemes Öves Lovag?	Most hogy a %s elmentek, kinyithatjuk ajtóinkat.  Be akarsz lépni ez alkalommal?	Hûséged bebizonyosodott, mivel legyõzted a %s-at.  Át akarsz most menni?	A %s legyõzése a %s régióban olyan hír, ami gyorsan terjed.  Át akarsz menni, oh nemes Öves Lovag?	A %s régió %s-ának vereségérõl szóló hírek gyorsan terjednek. Az elragadtatott parancsnok beleegyezik, hogy átengedjen. Szeretnél most átmenni?	A hûségedet a %s legyõzésével bizonyítottad.
Szeretnél átmenni?
Monster quest rollover	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)	(gyõzd le %s-t)
Monster quest log	Gyõzd le a %s-at a %s jutalomért cserébe.	Gyõzd le a %s-at a %s-ért.	Gyõzd le a %s-at a %s-ért.	Gyõzd le a %s-at hogy kinyisd a kaput.	Gyõzd le a %s-at hogy kinyisd a kaput.	Gyõzd le a %s-at, hogy kinyisd a kaput.	Gyõzd le a %s-at, hogy kinyisd a kaput.	Gyõzd le a %s-at, hogy kinyisd a kaput.	Gyõzd le a %s-at, hogy kinyisd a kaput.
Artifact quest	Régen a hatalmas varázslók képesek voltak varázstárgyakat alkotni, de az idõk múlásával elfelejtették azt, hogy hogyan kell újakat készíteni.  Magam is meg szeretném tanulni e technikákat, de elõször szükségem lenne egy tárgyra mintának.  Ha elhozod nekem a(z) %s varázstárgyat, meg leszel jutalmazva. 	Egész életemet varázstárgyak vételével, eladásával és gyûjtésével töltöttem, de mostanában túl sok pénzt költöttem új darabokra és alig kerestem az üzlettel.  Azt hiszem képes lennék tömegesen gyártani a varázstárgyakat, de elõbb szükségem lenne egy példányra.  Ha elhozod nekem a %s-t, megjutalmazlak erõfeszítéseidért.	Fiatalabb koromban egyedül is megcsináltam volna, de most szükségem van a segítségedre.  Egy barátomtól nemrég elloptak egy családi ékszert, és most meg akarja találni.  A gond az, hogy pont úgy néz ki mint a %s.  Kérlek hozz el nekem bármilyen tárgyat, ami megfelel a leírásnak.  Még ha az a varázstárgy nem is a családi ékszer, megjutalmazlak erõfeszítéseidért.	Egy hatalmas varázsló e torony ura.  Visszautasítja a belépést, amíg nem hozod el neki a %s-t.	A kapu csak egy nagyon különleges kulccsal nyitható ki.  Hozd ide a %s-t és akkor átjuthatsz.	Egy furcsa kis figura vizslat a kapu másik oldaláról.  "Senki sem mehet át.  A kutyám megette a feleségem %s-át/ét, és én nem megyek el innen, amíg nem leltem neki egy helyettesítõt."	A kapu csak egy nagyon különleges kulccsal nyitható ki.  Hozd ide a %s-t és akkor átjuthatsz.	Az itteni õrség parancsnokának szerencsejáték problémái vannak. Nemrég kiközösítették Õt, és nemcsak az egész Õrség zsoldjátt veszítette el, hanem szerencsekabaláját is, a %s-t is. Találd meg neki legalább ezt a csecsebecséjét, és akkor átenged.	Valami szélhámos áll a kapuban. Megszólít: "Hé, tudom, hol lehet megszerezni a kapu kulcsát. Elcserélném a %s-ra."
Artifact quest progress	Semmi, eh?  Biztosan megleled a %s tárgyat hamarosan.  Kérlek folytasd a keresést.	Még nem találtad meg a %s-t?  Kérlek keresd tovább, minden egyes nap késedelemmel pénzt veszítek!	Még semmi?  Ah, nos, próbálkozz tovább, biztos vagyok benne hogy a %s kint van valahol.	A varázsló nem tágít.  A %s nélkül senki nem mehet tovább.	Még nem találtad meg a kulcsot, a %s nélkül nem mehetsz át.	Sajnálom, ez nem fogja átverni.  Szükségem van a %s-ra/re hogy békén hagyjon.	Még nem találtad meg a kulcsot, a %s nélkül nem mehetsz át.	Az õrség parancsnoka által elveszett  %s csecsebecsét még nem találták meg. Enélkül senki sem tud átmenni.	"Szükséged van a kulcsra, és nekem csak egy dolog kell cserébe, a %s. Nem cserélem le semmi másra" - csattant fel a szélhámos.
Artifact quest completion	Ah, pontosan erre volt szükségem!  Itt a jutalom, amit ígértem. %s tárgyra szükséged van még, ugye?	Igen!  Ez a %s tökéletes!  Most ha leszel olyan kedves hogy ideadd, kifizetem amit ígértem.	Igen, ez biztosan az amit kerestünk!  Megkaphatom a %s-t?	A varázsló egyetért hogy átengedjen a %s-ért cserébe.  Át akarsz menni most?	A %s-t használva kinyithatod a kaput és átmehetsz.  Át akarsz jutni most azonnal?	Add ide és átmehetsz.  Kell egy kutya is?  Csak vicceltem... ideadod a %s-t nekem?	A %s-t használva kinyithatod a kaput és átmehetsz.  Át akarsz jutni most azonnal?	Az õrség parancsnoka a kezében lévõ %s láttán felpattan izgatottan. Most megint lesz mit eljátszanom - mondja! Oda adod neki és áthaladsz?	"Aha! A %s! Gyerünk, add ide, és vidd a kulcsot! Egyébként csak egyszer használatos." Szeretnél kereskedni vele és átadni?
Artifact quest rollover	(keresd a %s-t)	(keresd a %s-t)	(keresd a %s-t)	(keresd a %s-t)	(keresd a %s-t)	(keresd a %s-t)	(keresd a %s-t)	(keresd a %s-t)	(keresd a %s-t)
Artifact quest log	Vidd el a %s-t %s-hoz.	Vidd el a %s-t %s-hoz.	Vidd el a %s-t %s-hoz.	Keresd meg a %s-t hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.
Creature quest	Egy közeli ország uralkodójának ügynöke vagyok.  Nemrég seregei elbuktak a nehéz idõk során.  Ha hozol nekem %s-t, bõkezû leszek.	Ahhoz, hogy ezeken a veszélyes földeken keresztülutazhassak szüksége lenne a karavánomnak némi erõsítésre.  Úgy hallottam a %s kiváló õrök.  Ha elhozod nekem õket, nagyon hálás leszek.	Hagyomány nálunk, hogy a võlegényt %s kísérje menyasszonyához.  Megtámadtak minket és kíséretem nagy részét megölték.  Ha meg tudnád gyõzni õket hogy segítsenek, nagyon hálás leszek.	A Király látni szeretne néhányat a %s közül.  Hogy megtehessük ezt neki szét kell néznünk a királyságon kívül.  Hozz nekünk néhányat közülük és átengedünk.	Minden évben az Élet Fesztiválja alkalmából szükségünk van néhány %s-ra/re.  Hozz néhányat vagy ne gyere vissza.  Ez az egyetlen módja, hogy átjuss.	Egy zsoldos csapat telepedett meg a toronyban.  Azt mondják átengednek, ha hozol nekik %s-at/et újoncnak.	Egy zsoldos csapat telepedett meg a toronyban.  Azt mondják átengednek ha hozol nekik %s-at/et újoncnak.	Az õrök ennél a kapunál egy ideje már nem harcolnak, és gyakorlásra vágynak. Arra kérnek, hogy hozz magaddal néhány jó harcost, hogy párharcot vívj velük. Keressd meg nekünk %s-t, és akkor átengedünk.	Ez a kapu egy erõs Varázsló irányítása alatt áll. Aljas vigyorral követelést támaszt feléd. Az áthaladási engedélyért cserébe "friss munkaerõt" szeretne: %s formájában.
Creature quest progress	Nem lelsz %s-okat?  Kérlek siess, a császár számít rád.	Igazán sajnálom, de tényleg szükségem volna a %s kiváló õrre.	Nem, ezekkel nincs dolgom.  %s-at/et mielõtt elindulhatok a menyasszonyomhoz.	Sajnálom, de a Király csak %s-t akar látni, semmi más nem jó.	Semmi más csak %s kell a Fesztiválunkhoz.  Távozz amíg nincs meg.	A zsoldosoknak még szüksége van %s-ra/re mielõtt átengednek.	A zsoldosoknak még szüksége van %s-ra/re mielõtt átengednek.	Az õrök továbbra is méltó ellenfeleket követelnek, %s. Amíg nem hozod el õket, nem engednek át.	A varázsló még mindig "munkaerõt" szeretne, %s, mielõtt átmehetnél.
Creature quest complete	Végre, a %s amik megmentik uralkodónkat!  Itt a fizetséged. Készen állsz a távozásra?	Tökéletes!  Kellõ számú %s kiváló õrt hoztál nekem õrzõnek.  Elcseréled õket ezért a nagyszerû jutalomért?	Nagyon köszönöm, nemes utazó!  Bõséges jutalomban részesülsz cserébe a %s szolgálatáért.	Kiváló!  Megtaláltad a %s-at/et, amiket a Király olyan türelmetlenül vár.  Engedd át nekünk õket és tovább mehetsz.	Tökéletes!  Átmehetsz, ha átadod nekünk a %s-t.  Elvégezzük a cserét most?	A zsoldosok egyetértenek abban, hogy átengedenek a %s újoncért.  El akarod most végezni a cserét?	A zsoldosok egyetértenek abban, hogy átengedenek a %s újoncért.  El akarod most végezni a cserét?	Méltó ellenfeleket hoztál az õröknek, %s, és beleegyeznek, hogy átengedjenek. Szeretnél cserét végrehajtani?	A zsoldosok megállapodnak abban, hogy átengedenek a %s újoncér. Szeretnél most cserélni?
Creature quest rollover	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)
Creature quest log	Vigyél %s-t %s-hoz.	Vigyél %s-t %s-hoz.	Vigyél %s-t %s-hoz.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.
Resource quest	Keresem a módszert, hogy az egyszerû fémet arannyá változtassam, de a mûhelyem szûkölködik nyersanyagokban.  Ha hozol nekem %s-t, nagyon hálás leszek.	Kérlek segíts a környék szegény gyermekeinek.  Ha hozol nekünk %s-t akkor tudnánk nekik házat építeni.  A szolgálatodra leszünk.	Kérlek segíts!  Házasodni indultam, de kiraboltak, és a hozományom nélkül a jövõbeli férjem nem fog elvenni.  Ha hozol nekem %s-at/et megjutalmazlak.	Az õrök vámot szednek minden utazótól.  Átengednek %s-ért.	Mindenkinek meg kell fizetnie a Király Útjának Adóját.  Ez %s.  Amíg nem fizetsz, nem mehetsz.	Nagyon sajnáljuk, de vissza kell utasítanunk, hogy kiköltözzünk és átengedjünk.  Ha hozol nekünk %s-t akkor mi átköltözhetünk egy másik, kényelmesebb házba.	Az õrök vámot szednek minden utazótól.  Átengednek %s-ért.	Mindenkinek meg kell fizetnie a Király Útjának Adóját.  Ez %s.  Amíg nem fizetsz, nem mehetsz.	Ezt a kaput bedeszkázzák és lezárták. Ha át akarsz menni, helyi parasztokat kell felbérelned, hogy megtisztítsák az utat, aminek költsége %s lesz.
Resource quest progress	Oh, ez egyszerûen nem elég.  Szükségem van %s-ra/re.  Ennyibõl sosem sikerül megcsinálni.	Amíg nem adományoztál %s-t, addig nem tudunk megfelelõ otthont építeni az árváknak.	A hozományomnak tartalmaznia kell mind a %s-at/et különben nem tudok megházasodni.	Amíg nem hoztál %s-at/et, az õrök megtagadják az átlépést.	Ez nem elég.  A Király Útjának Adója %s.	Ezért a szánalmas mennyiségért egy kalibát sem vehetünk.  Szükségünk van legalább %s-ra/re, hogy legyen egy jó otthonunk.	Amíg nem hoztál %s-at/et, az õrök megtagadják az átlépést.	Ez nem elég.  A Király Útjának Adója %s.	A parasztok %s fizetséget követelnek az eltorlaszolt kapun való átutazásért. Gyere vissza, ha meggazdagodtál.
Resource quest complete	Végre!  Tessék, te ideadod a %s-t nekem, és én ezt adom neked cserébe.	Ahh, az a %s amit hoztál segít hogy jó otthonokat építhessünk nekik. Elfogadod ezt cserébe az adományodért?	Nagyon köszönöm, nemes utazó!  Ha ideadod a %s-at/et odaadom a jutalmat.  Elcseréljük?	Az õrök vámot szednek minden utazótól.  Átengednek %s-ért. Meg akarod fizetni a vámot?	Ha kifizeted a Király Útjának Adóját, %s-t, átengedünk.  Egyetértessz?	Ez a jó fajta pénz. Ennyi %s-val/vel vehetünk vagy építhetünk magunknak egyet egy szép helyen.  Add ide és átengedünk, eh?	Az õrök vámot szednek minden utazótól.  Átengednek %s-ért. Meg akarod fizetni a vámot?	Ha kifizeted a Király Útjának Adóját, %s-t, átengedünk.  Egyetértessz?	A parasztok készen állnak arra, hogy elfogadják %s fizetséget és megszabadítsák az utat. Valamilyen oknál fogva viszont azt gondolod, hogy ez nem marad sokáig tiszta. Szeretnél fizetni és átkelni?
