Region Name	Campaign Name	Scenario Name	Map Area Name
"{Alsóerdõ}

Egy nekromanta próbálja elérni a legközelebbi erathiai helyõrséget. Bizonyítani tudja, hogy ki volt Gryphonheart király gyilkosa. Most biztonságban van, de az útban olyan nekromanták állnak, akik új királyukhoz hûek. Az út utolsó szakaszán neked kell õt kísérned."	Good3	G3a	Map Area 1
"{Smaragddombok Erdõligetig}

Te irányítod Erathia, AvLee és Bracada seregeit, valamint azokat a nekromantákat, akik úgy döntöttek, hogy Gryphonheart király ellen harcolnak. Az élõhalott ellenállás erõs, de gyõzedelmeskedned kell!"	Good3	G3b	Map Area 2
"{Márványkert}

 Ez a végsõ csata. Jelenlétünkkel már megkezdõdött az élet megújulása, de még el kell pusztítanunk az utolsó erõdöt, ahová Gryphonheart király visszavonult. Itt az ideje, hogy a holtak visszatérjenek a sírjukba."	Good3	G3c	Map Area 3
"{Rionpoint}

Mielõtt Erathia segítséget hívhatna AvLee tündéitol, AvLee erejének szívére fogunk lecsapni - az Arany Sárkány Királynõre. Legerõsebb szövetségesének eltávolítása után AvLee nem tud majd Erathiának segítséget nyújtani."	Evil1	E1a	Map Area 1
"{Bõtermés}

Haderõink a távolság nagy részét földalatti alagutakon fogják megtenni az erathiai fõvárosig. Hogy fenntartsuk a meglepetés erejét, meg kell támadnod bármilyen erathiai települést, amit csak találsz. Használd az óriási barlanghálózatot, hogy megvalósítsd a célodat. "	Evil1	E1b	Map Area 2
"{Csatahely}

Ostromold meg az erathiai fõvárost, Steadwicket. Nem lesz egyszerû, mert a fõváros könnyedén és erõsen védett. Ráadásul a Catherine királynõ vezette sereg is mozgásban van. El kell foglalnunk Steadwicket, mielõtt megérkezik!"	Evil1	E1c	Map Area 3
"{Márványkert}

Gryphonheart király, aki számûzött minket Erathiából, halott. Nighon és Eofol inváziója ajándékba adja nekünk a halált. Végre felépíthetjük seregeinket és meghódíthatjuk Erathiát magunknak. De legelõször egy hadvezérre van szükségünk. Meg kell találnod Gryphonheart király sírját."	Evil2	E2a	Map Area 1
"{Smaragddombok}

Tökéletes területre találtunk az erathiai határ mellett, ahonnan elegendõ teremtményt takaríthatunk be anélkül, hogy felhívnánk magunkra az Erathiai Katonaság figyelmét. Építs sereget, de gyorsan - azonnal szükségünk van azokra a katonákra."	Evil2	E2b	Map Area 2
"{Erõsfûz és Erdõliget}

Egy vad Halállovag nem kíván részt venni Erathia meghódításának dicsõségében. Azt hiszi, hogy ha kimarad a harcokból, az erathiaiak megkímélik majd birtokait egy esetleges ellentámadáskor. Itt az ideje, hogy leckét adjunk neki engedelmességbõl."	Evil2	E2c	Map Area 3
"{Fatemetõ}

Eljött az idõ. A lich király, Gryphonheart ezt választotta a támadás pillanatának. Deyja seregei beözönlenek Erathiába és lesújtanak rájuk. Támadásod irányát maga a király jelölte ki. Megesküdtél, hogy nem buksz el."	Evil2	E2d	Map Area 4
"{Lóheremezõ}

Mielõtt kijelentjük függetlenségünket, szükségünk van egy jelképre. Ez a jelkép a Grál, ami már évszázadokkal ezelõtt elveszett, valahol ezen a vidéken. Meg kell találnunk, különben a tervünk szétfoszlik, mielõtt még mûködni kezdene. Csak három hónapod van, hogy megtaláld a Grált."	Secret1	S1a	Map Area 1
"{Erdõvölgy}

Az utazás Welninig nem volt egyszerû, de a legnehezebb az út utolsó szakasza lesz. A Ryland nevû kószánál van a Grál, akinek el kell kerülnie az Erathiához és AvLeehez hû erõket, hogy elérhesse Welnint."	Secret1	S1b	Map Area 2
"{Mohaerdõ}

A Grál elért Welninbe, de most fõvárost kell építenünk ebbõl a városból. Erathia és AvLee seregei minden irányból támadhatnak. Nemsokára bebizonyítjuk, hogy a Vitatott Földek többé nem tartoznak uralmuk alá!"	Secret1	S1c	Map Area 3
