Name		Cost															Damage				Adv. Map				
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)	
Arkangyal	Arkangyal	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	"+1 Hangulat. Gyûlöli a Sátánokat
Szövetségesek feltámasztása."	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2	
																									
																									
																									
Kentaur	Kentaur	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE	
Kentaur Kapitány	Kentaur Kapitány	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE	
Törpe	Törpe	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20% Varázslat Ellenállás.	0	
Törpe Harcos	Törpe Harcos	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40% Varázslat Ellenállás.	0	
Erdõtünde	Erdõtünde	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY	
Nemestünde	Nemestünde	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	Kétszer lõ.	SHOOTING_ARMY | const_two_attacks	
Pegazus	Pegazus	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	Varázslat csökkentés.	DOUBLE_WIDE | FLYING_ARMY	
Ezüst Pegazus	Ezüst Pegazus	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	Varázslat csökkentés.	DOUBLE_WIDE | FLYING_ARMY	
Ent Fapásztor	Ent Fapásztor	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	Az ellenséget földhöz köti.	0	
Ent Harcos	Ent Harcos	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	Az ellenséget földhöz köti.	0	
Unikornis	Unikornis	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	Varázs ellenállás aurája van, az ellenséget megvakítja.	DOUBLE_WIDE	
Harci Unikornis	Harci Unikornis	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Varázs ellenállás aurája van, az ellenséget megvakítja.	DOUBLE_WIDE	
Zöld Sárkány	Zöld Sárkány	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	Az 1-3. szintû varázslatokra immunis.	DOUBLE_WIDE | FLYING_ARMY | KING_1	
Arany Sárkány	Arany Sárkány	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	Az 1-4. szintû varázslatokra immunis.	DOUBLE_WIDE | FLYING_ARMY | KING_1	
																									
																									
																									
Kobold	Kobold	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0	
Manó	Manó	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	Távolsági lövésre képes.	SHOOTING_ARMY	
Vízköpõ	Vízköpõ	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY	
Obszidián Vízköpõ	Obszidián Vízköpõ	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY	
Kõgólem	Kõgólem	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	A rá varázsolt varázslatok 50%-a hat csak.	0	
Vasgólem	Vasgólem	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	A rá varázsolt varázslatok 25%-a hat csak.	0	
Mágus	Mágus	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	"Nincs távolsági büntetés.
Csökkenti a varázslás költségét."	SHOOTING_ARMY | const_no_melee_penalty	
Fõmágus	Fõmágus	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	"Nincs távolsági büntetés.
Csökkenti a varázslás költségét."	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty	
Dzsinn	Dzsinn	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	Gyûlöli az Efreeteket.	FLYING_ARMY	
Mesterdzsinn	Mesterdzsinn	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	"Véletlenszerû varázslatot képes varázsolni.
Gyûlöli az Efreeteket."	FLYING_ARMY	
Naga	Naga	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	Nem ütnek neki vissza.	DOUBLE_WIDE	
Naga Királynõ	Naga Királynõ	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	Nem ütnek neki vissza.	DOUBLE_WIDE	
Óriás	Óriás	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	Immunis az észre ható varázslatokra.	KING_3	
Titán	Titán	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	Nem ütnek neki vissza. Immunis az észre ható varázslatokra.	SHOOTING_ARMY | const_no_melee_penalty | KING_3	
                                   																									
																									
																									
Ördögfióka	Ördögfióka	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0	
Kísérõ	Kísérõ	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	Az ellenség varázspontjaiból csen el.	0	
Góg	Góg	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY	
Magóg	Magóg	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	Tûzlabda támadás.	SHOOTING_ARMY	
Pokolkutya	Pokolkutya	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY	
Kerberosz	Kerberosz	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	7	0	0	12	20	"Egyszerre 3 ellenfelet is támadhat. Nem ütnek neki vissza."	DOUBLE_WIDE | FLYING_ARMY	
Démon	Démon	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0	
Szarvas Démon	Szarvas Démon	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0	
Aknaszörny	Aknaszörny	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0	
Aknaúr	Aknaúr	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	"Démonokat képes feltámasztani
az elpusztult saját seregbõl."	0	
Efreet	Efreet	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	Immunis a Tûz varázslatokra.  Gyûlöli a Dzsinneket.	0	
Efreet Szultán	Efreet Szultán	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	Tûz Pajzs.  Immunis a Tûz varázslatokra.  	0	
Ördög	Ördög	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	Nem ütnek neki vissza, +1 Balszerencsét ad az ellenfélnek.	FLYING_ARMY | KING_2	
Sátán	Sátán	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	Nem ütnek neki vissza, +1 Balszerencsét ad az ellenfélnek.	FLYING_ARMY | KING_2	
																									
																									
																									
Csontváz	Csontváz	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	Élõhalott.	IS_UNDEAD	
Csontvázharcos	Csontvázharcos	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	Élõhalott.	IS_UNDEAD	
Feltámasztott	Feltámasztott	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	Élõhalott.	IS_UNDEAD	
Zombi	Zombi	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	"Élõhalott.
Betegségeket terjeszt."	IS_UNDEAD	
Lélek	Lélek	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	Élõhalott. Regenerálódik.	FLYING_ARMY | IS_UNDEAD	
Kísértet	Kísértet	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	"Élõhalott. Regenerálódik. Elcseni
az ellenség varázspontjait."	FLYING_ARMY | IS_UNDEAD	
Vámpír	Vámpír	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	"Élõhalott.
Nem ütnek neki vissza."	FLYING_ARMY | IS_UNDEAD	
Vámpírúr	Vámpírúr	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	"Élõhalott. Elszívja az ellenfél életét. Nem ütnek neki vissza."	FLYING_ARMY | IS_UNDEAD	
Lich	Lich	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	Élõhalott. Több lényt is képes egyszerre sebezni.	SHOOTING_ARMY | IS_UNDEAD	
Hatalmas Lich	Hatalmas Lich	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	Élõhalott.  Több lényt is képes egyszerre sebezni.	SHOOTING_ARMY | IS_UNDEAD	
Fekete Lovag	Fekete Lovag	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	Élõhalott.  Átkot szór az ellenségre.	DOUBLE_WIDE | IS_UNDEAD	
Halállovag	Halállovag	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	"Élõhalott. Halálcsapás-dupla sebzés."	DOUBLE_WIDE | IS_UNDEAD	
Csontsárkány	Csontsárkány	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	Élõhalott.  1-gyel csökkenti az ellenfél Hangulatát.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1	
Szellemsárkány	Szellemsárkány	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	Élõhalott. Öregíti az ellenséget és 1-gyel rontja a Hangulatát.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1	
																									
																									
																									
Barlanglakó	Barlanglakó	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	Immunis a Vakításra.	0	
Pokoli Barlanglakó	Pokoli Barlanglakó	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	Immunis a Vakításra.	0	
Hárpia	Hárpia	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	Támadás után visszatér a kiindulási helyére.	FLYING_ARMY	
Hárpia Banya	Hárpia Banya	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	"Támadás után visszatér a kiindu-
lási helyére. Nem ütnek rá vissza."	FLYING_ARMY	
Szemlélõ	Szemlélõ	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	Nincs távolsági büntetés.	SHOOTING_ARMY | const_no_melee_penalty	
Gonosz Szem	Gonosz Szem	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	Nincs távolsági büntetés.	SHOOTING_ARMY | const_no_melee_penalty	
Medúza	Medúza	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	"Nincs távolsági büntetés. Kõvé
változtathatja az ellenfeleit."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty	
Medúza Királynõ	Medúza Királynõ	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	"Nincs távolsági büntetés. Kõvé
változtathatja az ellenfeleit."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty	
Minotaurusz	Minotaurusz	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	Jó Hangulattal rendelkezik.	0	
Minotaurusz Király	Minotaurusz Király	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	Jó Hangulattal rendelkezik.	0	
Manticore	Manticore	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY	
Scorpicore	Scorpicore	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	Ütése béníthatja az ellenfelet.	DOUBLE_WIDE | FLYING_ARMY	
Vörös Sárkány	Vörös Sárkány	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	Immunis 1-3. szintû varázslatokra.	DOUBLE_WIDE | FLYING_ARMY | KING_1	
Fekete Sárkány	Fekete Sárkány	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	Immunis az összes varázslatra.	DOUBLE_WIDE | FLYING_ARMY | KING_1	
																									
																									
																									
Goblin	Goblin	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0	
Hobgoblin	Hobgoblin	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0	
Farkaslovas	Farkaslovas	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE	
Farkaslovas Fosztogató	Farkaslovas Fosztogató	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	Kétszer támad.	DOUBLE_WIDE	
Ork	Ork	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY	
Ork Törzsfõnök	Ork Törzsfõnök	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY	
Ogre	Ogre	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0	
Ogre Mágus	Ogre Mágus	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	Varázsolni tudja a Vérszomj varázslatot.	0	
Keselyû	Keselyû	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE	
Villámmadár	Villámmadár	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	Villámcsapást varázsolhat.	FLYING_ARMY | DOUBLE_WIDE	
Küklopsz	Küklopsz	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	Ostromnál támadhatja a falakat.	SHOOTING_ARMY | CATAPULT	
Küklopsz Király	Küklopsz Király	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	Ostromnál támadhatja a falakat.	SHOOTING_ARMY | CATAPULT	
Behemót	Behemót	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	40% védelem csökkentés a megtámadott lénynek.	DOUBLE_WIDE | KING_1	
Õsi Behemót	Õsi Behemót	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	80% védelem csökkentés a megtámadott lénynek.	DOUBLE_WIDE | KING_1	
																									
																									
																									
Gnoll	Gnoll	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0	
Gnoll Martalóc	Gnoll Martalóc	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0	
Gyíkember	Gyíkember	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30		SHOOTING_ARMY	
Gyíkharcos	Gyíkharcos	0	0	0	0	0	0	140	130	156	9	0	15	5	6	8	2	5	24	0	16	25		SHOOTING_ARMY	
Gorgon	Gorgon	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE	
Hatalmas Gorgon	Hatalmas Gorgon	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	Nézése kiûzheti a lelket ellenfeleibõl.	DOUBLE_WIDE	
Kígyólégy	Kígyólégy	0	0	0	0	0	0	220	215	268	8	0	20	9	7	9	2	5	0	0	10	20	Ütésére minden védõ varázslat eltûnik az ellenfélrõl.	FLYING_ARMY	
Repülõ Áspis	Repülõ Áspis	0	0	0	0	0	0	240	250	312	8	0	20	13	8	10	2	5	0	0	10	16	Varázslat eltüntetõ hatást és gyengítést ad az ellenfélnek.	FLYING_ARMY	
Baziliszkusz	Baziliszkusz	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	Megdermesztheti azt, akit megharap.	DOUBLE_WIDE	
Nagyobb Baziliszkusz	Nagyobb Baziliszkusz	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	Megdermesztheti azt, akit megharap.	DOUBLE_WIDE	
Sárkánygyík	Sárkánygyík	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY	
Sárkánygyík Fejedelem	Sárkánygyík Fejedelem	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	Mérgez.	DOUBLE_WIDE | FLYING_ARMY	
Hidra	Hidra	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	Minden körülötte álló ellenfelet támad, nem ütnek neki vissza.	DOUBLE_WIDE | KING_1	
Káosz Hidra	Káosz Hidra	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	Minden körülötte álló ellenfelet támad, nem ütnek neki vissza.	DOUBLE_WIDE | KING_1	
																									
																									
																									
Lég Elementál	Lég Elementál	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	A Villámcsapás a gyengesége.	0	
Föld Elementál	Föld Elementál	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	A Meteorzápor a gyengesége.	0	
Tûz Elementál	Tûz Elementál	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	16	25	"Immunis a tûzre.
A jég a gyengesége."	0	
Víz Elementál	Víz Elementál	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	"Immunis a jégre.
A tûz a gyengesége."	0	
Aranygólem	Aranygólem	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	A rá varázsolt varázslatok erejét 85%-kal csökkenti.	0	
Gyémántgólem	Gyémánytgólem	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	A rá varázsolt varázslatok erejét 95%-kal csökkenti.	0	
																										
																										
																										
Tündérke	Tündérke	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY		
Tündér	Tündér	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	Nem ütnek neki vissza.	FLYING_ARMY | const_free_attack		
Lélek Elementál	Lélek Elementál	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	Az összes szomszédos ellenséget megtámadja úgy, hogy nem ütnek neki vissza. Elme varázslatok ellen immunis.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED		
Varázslat Elementál	Varázslat Elementál	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	Az összes szomszédos ellenséget megtámadja úgy, hogy nem ütnek neki vissza. Varázslat immunis.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED		
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Jég Elementál	Jég Elementál	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	Elme és Jég varázslatokkal szemben immunis. Tûz varázslatokkal szemben gyenge.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY		
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Magma Elementál	Magma Elementál	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	Elme varázslatokkal szemben immunis.  Föld Hárító-t tud varázsolni.	IMMUNE_TO_MIND_SPELLS		
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Vihar Elementál	Vihar Elementál	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	Gyengeségei a Villámok és a Tûz varázslatok.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY		
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Enegia Elementál	Energia Elementál	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	Tûz Hárító-t tud varázsolni. Immunis az Elme és Tûz varázslatokkal szemben.	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY		
Tûzmadár	Tûzmadár	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	Immunis a Tûz varázslatokra.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK		
Fõnix	Fõnix	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	Immunis a Tûz varázslatokra.  Hamvaiból újjászületik.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
Azúrsárkány	Azúrsárkány	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Félelmet kelt.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Kristálysárkány	Kristálysárkány	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Kristály növelõ hatás	DOUBLE_WIDE | FLYING_ARMY | KING_1
Tündérsárkány	Tündérsárkány	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	Varázslattal támad	DOUBLE_WIDE | FLYING_ARMY | KING_1
Rozsdasárkány	Rozsdasárkány	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Savat köp	DOUBLE_WIDE | FLYING_ARMY | KING_1
Szemfényvesztõ	Szemfényvesztõ	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	Csoportos varázslatokat varázsol	SHOOTING_ARMY | const_no_melee_penalty
Mesterlövész	Mesterlövész	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12		SHOOTING_ARMY
Félszerzet	Félszerzet	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	Pozitív szerencse	SHOOTING_ARMY
Paraszt	Paraszt	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
Vaddisznó	Vaddisznó	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
Múmia	Múmia	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	Átok	
Nomád	Nomád	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25		
Zsivány	Zsivány	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	Lopakodik	
Troll	Troll	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	Regenerálódik	
																								
																								
																								
Katapult	Katapult	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	Ostromnál a falat lehet vele lõni.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
Nyílvetõgép	Nyílvetõgép	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
Elsõsegélysátor	Elsõsegélysátor	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	Katonáid tudod vele gyógyítani.	DOUBLE_WIDE | SIEGE_WEAPON
Lõszerestalicska	Lõszerestalicska	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	A távolra támadó katonáid nem fogynak ki lõszerbõl.	SIEGE_WEAPON
Lövegtorony	Lövegtorony	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	A távolra támadó katonáid nem fogynak ki lõszerbõl.	SIEGE_WEAPON
