	Leírás		
Föld Mágia	"{Alap Föld Mágia}

Az Alap Föld Mágiának köszönhetõen hõsödnek a Föld varázslatokhoz kevesebb varázspontot kell felhasználnia."	"{Haladó Föld Mágia}

A Haladó Föld Mágiának köszönhetõen hõsödnek a Föld varázslatokhoz még kevesebb varázspontot kell felhasználnia."	"{Mester Föld Mágia}

A Mester Tûz Mágiának köszönhetõen hõsödnek a Föld varázslatokhoz minimális varázspontot kell felhasználnia."
Tanítás	"{Alap Tanítás}

Az Alap Tanítással a hõseid tanítani tudják egymásnak az elsõ és második szintû varázslatokat."	"{Haladó Tanítás}

A Haladó Tanítással a hõseid tanítani tudják egymásnak az elsõ, második és harmadik szintû varázslatokat."	"{Mester Tanítás}

A Mester Tanítással a hõseid tanítani tudják egymásnak a negyedik szintnél nem nagyobb varázslatokat."
Taktika	"{Alap Taktika}

Az Alap Taktika lehetõvé teszi az egységeid csata elõtti átrendezését, 3 hexa kocka távolságig"	"{Haladó Taktika}

A Haladó Taktika lehetõvé teszi az egységeid csata elõtti átrendezését, 5 hexa kocka távolságig."	"{Mester Taktika}

A Mester Taktika lehetõvé teszi az egységeid csata elõtti átrendezését, 7 hexa kocka távolságig."
Tüzérség	"{Alap Tüzérség}

Az Alap Tüzérséggel a hõs kezelni tudja az ostromgépet, továbbá két lövést is biztosít körönként, 50%-os eséllyel arra, hogy az dupla sérülést okoz."	"{Haladó Tüzérség}

A Haladó Tüzérséggel a hõs kezelni tudja az ostromgépet, továbbá két lövést is biztosít körönként, 75%-os eséllyel arra, hogy az dupla sérülést okoz."	"{Mester Tüzérség}

A Mester Tüzérséggel a hõs kezelni tudja az ostromgépet, továbbá két lövést is biztosít körönként, 100%-os eséllyel arra, hogy az dupla sérülést okoz."
Tanulás	"{Alap Tanulás}

Az Alap Tanulás emeli a hõs elérhetõ tapasztalati szintjét 5%-kal."	"{Haladó Tanulás}

A Haladó Tanulás emeli a hõs elérhetõ tapasztalati szintjét 10%-kal."	"{Mester Tanulás}

A Mester Tanulás növeli a hõs elérhetõ tapasztalati szintjét 15%-kal."
Támadás	"{Alap Támadás}

Az Alap Támadás 10%-kal növeli -közelharc során- a lények sebzését."	"{Haladó Támadás}

A Haladó Támadás 20%-kal növeli -közelharc során- a lények sebzését."	"{Mester Támadás}

A Mester Támadás 30%-kal növeli -közelharc során- a lények sebzését."
Páncélzat	"{Alap Páncélzat}

Az Alap Páncélzat 5%-kal csökkenti a támadók sebzését."	"{Haladó Páncélzat}

A Haladó Páncélzat 10%-kal csökkenti a támadók sebzését."	"{Mester Páncélzat}

A Mester Páncélzat 15%-kal csökkenti a támadók sebzését."
Intelligencia	"{Alap Intelligencia}

Az Alap Intelligencia 25%-kal növeli az elérhetõ varázspontok számát."	"{Haladó Intelligencia}

A Haladó Intelligencia 35%-kal növeli az elérhetõ varázspontok számát."	"{Mester Intelligencia}

A Mester Intelligencia megduplázza az elérhetõ varázspontok számát."
Boszorkányság	"{Alap Boszorkányság}

Az Alap Boszorkányság 5%-kal növeli a csata során alkalmazott varázslatok hatóerejét."	"{Haladó Boszorkányság}

A Haladó Boszorkányság 10%-kal növeli a csata során alkalmazott varázslatok hatóerejét."	"{Mester Boszorkányság}

A Mester Boszorkányság 15%-kal növeli a csata során alkalmazott varázslatok hatóerejét."
Ellenállás	"{Alap Ellenállás}

Az Alap Ellenállás 5%-os varázslat ellenállással ruházza fel a hõs katonáit."	"{Haladó Ellenállás}

A Haladó Ellenállás 10%-os varázslat ellenállással ruházza fel a hõs katonáit."	"{Mester Ellenállás}

A Mester Ellenállás 20%-os varázslat ellenállással ruházza fel a hõs katonáit."
Elsõsegély	"{Alap Elsõsegély}

Az Alap Elsõsegély lehetõvé teszi az Elsõsegély sátor használatát a hõs számára, továbbá 40-50 sebesülés-pontot képes helyreállítani a kijelölt lényen."	"{Haladó Elsõsegély}

A Haladó Elsõsegély lehetõvé teszi az Elsõsegély sátor használatát a hõs számára, továbbá 60-75 sebesülés-pontot képes helyreállítani a kijelölt lényen."	"{Mester Elsõsegély}

A Mester Elsõsegély lehetõvé teszi az Elsõsegély sátor használatát a hõs számára, továbbá 80-100 sebesülés-pontot képes helyreállítani a kijelölt lényen."
