	Leírás		
Föld Mágia	"{Alap Föld Mágia}

Az Alap Föld Mágiának köszönhetõen hõsödnek a Föld varázslatokhoz kevesebb varázspontot kell felhasználnia."	"{Haladó Föld Mágia}

A Haladó Föld Mágiának köszönhetõen hõsödnek a Föld varázslatokhoz még kevesebb varázspontot kell felhasználnia."	"{Mester Föld Mágia}

A Mester Tûz Mágiának köszönhetõen hõsödnek a Föld varázslatokhoz minimális varázspontot kell felhasználnia."
Tanítás	"{Alap Tanítás}

Az Alap Tanítással a hõseid tanítani tudják egymásnak az elsõ és második szintû varázslatokat."	"{Haladó Tanítás}

A Haladó Tanítással a hõseid tanítani tudják egymásnak az elsõ, második és harmadik szintû varázslatokat."	"{Mester Tanítás}

A Mester Tanítással a hõseid tanítani tudják egymásnak a negyedik szintnél nem nagyobb varázslatokat."
Taktika	"{Alap Taktika}

Az Alap Taktika lehetõvé teszi az egységeid csata elõtti átrendezését, 3 hexa kocka távolságig. Blokkolja az ellenség taktikájának egy szintjét."	"{Haladó Taktika}

A Haladó Taktika lehetõvé teszi az egységeid csata elõtti átrendezését, 5 hexa kocka távolságig. Blokkolja az ellenség taktikájának két szintjét."	"{Mester Taktika}

A Mester Taktika lehetõvé teszi az egységeid csata elõtti átrendezését, 7 hexa kocka távolságig. Blokkolja az ellenség taktikájának összes szintjét."
Tüzérség	"{Alap Tüzérség}

Az Alap Tüzérség képesség átadja az ostromgép, a nyíltornyok és az ágyú irányítást a hõsnek. Az ostromgép 50%-os eséllyel +100%-os sebzést okoz. Az ágyúnak nagyobb esélye van az erõdítmények eltalálására. A képesség védi az ostromgépet és az ágyút, megakadályozva az életerõpontok több mint 40%-os elvesztését egyetlen találat esetén."	"{Haladó Tüzérség}

A Haladó Tüzérség képesség átadja az ostromgép, a nyíltornyok és az ágyú irányítást a hõsnek. Az ostromgép kétszer lõ, és 75% esélye van arra, hogy +100%-os sebzést okozzon. Az ágyú +100%-os sebzést okoz, és megnövelt eséllyel találja el az erõdítményeket. A képesség védi az ostromgépet és az ágyút, megakadályozva az életerõpontok több mint 40%-os elvesztését egyetlen találat esetén."	"{Mester Tüzérség}

A Mester Tüzérség képesség átadja az ostromgép, a nyíltornyok és az ágyú irányítást a hõsnek, lehetõvé téve így az ostromgép kétszer lõ, és +100%-os sebzést okoz. Az ágyú +200% sebzést okoz, és pontosan lõ az erõdítményekre maximális sebzéssel. A képesség védi az ostromgépet és az ágyút, megakadályozva az életerõpontok több mint 40%-os elvesztését egyetlen találat esetén."
Tanulás	"{Alap Tanulás}

Az Alap Tanulás 25%-kal növeli a hõsök megszerzett tapasztalatát. Ezt a képességet megszerezve a hõs azonnal további szintlépést kap."	"{Haladó Tanulás}

A Haladó Tanulás 50%-kal növeli a hõsök megszerzett tapasztalatát. Ezt a képességet megszerezve a hõs azonnal további szintlépést kap."	"{Mester Tanulás}

A Mester Tanulás 75%-kal növeli a hõsök megszerzett tapasztalatát. Ezt a képességet megszerezve a hõs azonnal további szintlépést kap."
Támadás	"{Alap Támadás}

Az Alap Támadás 10%-kal növeli -közelharc során- a lények sebzését."	"{Haladó Támadás}

A Haladó Támadás 20%-kal növeli -közelharc során- a lények sebzését."	"{Mester Támadás}

A Mester Támadás 30%-kal növeli -közelharc során- a lények sebzését."
Páncélzat	"{Alap Páncélzat}

Az Alap Páncélzat 5%-kal csökkenti az ellenséges csapatok által a hõs csapatai ellen okozott összes sebzést."	"{Haladó Páncélzat}

A Haladó Páncélzat 10%-kal csökkenti az ellenséges csapatok által a hõs csapatai ellen okozott összes sebzést."	"{Mester Páncélzat}

A Mester Páncélzat 15%-kal csökkenti az ellenséges csapatok által a hõs csapatai ellen okozott összes sebzést."
Intelligencia	"{Alap Intelligencia}

Az Alap Intelligencia 25%-kal növeli az elérhetõ varázspontok számát."	"{Haladó Intelligencia}

A Haladó Intelligencia 35%-kal növeli az elérhetõ varázspontok számát."	"{Mester Intelligencia}

A Mester Intelligencia megduplázza az elérhetõ varázspontok számát."
Boszorkányság	"{Alap Boszorkányság}

Az Alap Boszorkányság képzettség hatására a hõs varázslatai további 10%-os sebzést okoznak a harcban."	"{Haladó Boszorkányság}

A Haladó Boszorkányság képzettség hatására a hõs varázslatai további 20%-os sebzést okoznak a harcban."	"{Mester Boszorkányság}

A Mester Boszorkányság képzettség hatására a hõs varázslatai további 30%-os sebzést okoznak a harcban."
Ellenállás	"{Alap Ellenállás}

Az Alap Ellenállás 5%-os varázslat ellenállással ruházza fel a hõs katonáit."	"{Haladó Ellenállás}

A Haladó Ellenállás 10%-os varázslat ellenállással ruházza fel a hõs katonáit."	"{Mester Ellenállás}

A Mester Ellenállás 20%-os varázslat ellenállással ruházza fel a hõs katonáit."
Elsõsegély	"{Alap Elsõsegély}

Az Alap Elsõsegély lehetõvé teszi az Elsõsegély-sátor egyéni használatát a hõs számára, továbbá 40-50 sebzéspontot képes helyreállítani a kijelölt egységen. Az Elsõsegély-sátor a hõs minden egységének 5% bónuszt ad az életerejére. A képesség megvédi az Elsõsegély-sátrat, megakadályozva az életerõpontok több mint 40%-os elvesztését egyetlen találat esetén."	"{Haladó Elsõsegély}

A Haladó Elsõsegély lehetõvé teszi az Elsõsegély-sátor egyéni használatát a hõs számára, továbbá 60-75 sebzéspontot képes helyreállítani a kijelölt egységen. Az Elsõsegély-sátor a hõs minden egységének 10% bónuszt ad az életerejére. A képesség megvédi az Elsõsegély-sátrat, megakadályozva az életerõpontok több mint 40%-os elvesztését egyetlen találat esetén."	"{Mester Elsõsegély}

A Mester Elsõsegély lehetõvé teszi az Elsõsegély-sátor egyéni használatát a hõs számára, továbbá 80-100 sebzéspontot képes helyreállítani a kijelölt egységen. Az Elsõsegély-sátor a hõs minden egységének 15% bónuszt ad az életerejére. A képesség megvédi az Elsõsegély-sátrat, megakadályozva az életerõpontok több mint 40%-os elvesztését egyetlen találat esetén."
