			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Repülés 	Repülés 	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Repülés}

A hõsödnek lehetõsége lesz a pálya akadályai felett átrepülni 40% mozgás büntetéssel.
"	"{Alap Repülés}

A hõsödnek lehetõsége lesz a pálya akadályai felett átrepülni 40% mozgás büntetéssel
.
"	"{Haladó Repülés}

A hõsödnek lehetõsége lesz a pálya akadályai felett átrepülni 20% mozgás büntetéssel.
"	"{Mester Repülés}

A hõsödnek lehetõsége lesz a pálya akadályai felett átrepülni. Az összes mozgáspontod felhasználhatod
"	 ADV_SPELL
Vízen járás	Vízen járás	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Vízen járás}

A hõseid mozgáspontjaik egy részét felhasználhatják arra, hogy átlovagolhassanak a vízen 40% mozgás büntetéssel.
. A mozgást a szárazföldön kell befejezned.
"	"{Alap Vízen Járás}

A hõseid mozgáspontjaik egy részét felhasználhatják arra, hogy átlovagolhassanak a vízen 40% mozgás büntetéssel.  A mozgást a szárazföldön kell befejezned.
"	"{Haladó Vízen Járás}

A hõseid mozgáspontjaik jelentõs részét felhasználhatják arra, hogy átlovagolhassanak a vízen 20% mozgás büntetéssel.  A mozgást a szárazföldön kell befejezned.
"	"{Mester Vízen Járás}

A hõseid az összes mozgáspontjaikat felhasználhatják arra, hogy átlovagolhassanak a vízen. A mozgást a szárazföldön kell befejezni.
"	 ADV_SPELL
Dimenzió Kapu	Dimenzió Kapu	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Dimenzió Kapu}

Naponta átteleportálhatod a hõsödet  a Kaland Térkép egy másik pontjára. 300 mozgáspontba kerül.
"	"{Alap Dimenzió Kapu}

Kétszer egy nap átteleportálhatod a hõsödet a Kaland Térkép egy másik pontjára.
 300 mozgáspontba kerül."	"{Haladó Dimenzió Kapu}

Egy nap háromszor átteleportálhatod a hõsödet a Kaland Térkép egy másik pontjára.
 300 mozgáspontba kerül."	"{Mester Dimenzió Kapu}

Naponta négyszer átteleportálhatod a hõsödet a Kaland Térkép egy másik pontjára. 200 mozgáspontba kerül.
"	 ADV_SPELL
Várkapu	Várkapu	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Várkapu}

A Várkapu a hõsödet a legközelebbi váradba helyezi. 300 mozgáspontba kerül.
"	"{Alap Várkapu}

A Várkapu a hõsödet a legközelebbi váradba helyezi. 300 mozgáspontba kerül.
"	"{Haladó Várkapu}

A Várkapu a hõsödet a legközelebbi váradba helyezi. 300 mozgáspontba kerül.
"	"{Mester Várkapu}

A Várkapu a hõsödet a legközelebbi váradba helyezi.
 200 mozgáspontba kerül."	 ADV_SPELL
																																	
Harci varázslatok																																	
																																	
Futóhomok	Futóhomok	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Futóhomok}

Véletlenszerûen elhelyez négy kicsi futóhomok foltot a csatamezõn, amik csak a varázsló és a terep lényei számára láthatók.  Ha egy lény belesétál ebbe, akkor annak a mozgása befejezõdik (az adott körben) és mindenki számára láthatóvá válnak a futóhomok foltok.
"	"{Alap Futóhomok}

Véletlenszerûen elhelyez négy kicsi futóhomok foltot a csatamezõn, amik csak a varázsló és a terep lényei számára láthatók.  Ha egy lény belesétál ebbe, akkor annak a mozgása befejezõdik (az adott körben) és mindenki számára láthatóvá válnak a futóhomok foltok.
"	"{Haladó Futóhomok}

Véletlenszerûen elhelyez hat kicsi futóhomok foltot a csatamezõn, amik csak a varázsló és a terep lényei számára láthatók.  Ha egy lény belesétál ebbe, akkor annak a mozgása befejezõdik (az adott körben) és mindenki számára láthatóvá válnak a futóhomok foltok.
"	"{Mester Futóhomok}

Véletlenszerûen elhelyez nyolc kicsi futóhomok foltot a csatamezõn, amik csak a varázsló és a terep lényei számára láthatók.  Ha egy lény belesétál ebbe, akkor annak a mozgása befejezõdik (az adott körben) és mindenki számára láthatóvá válnak a futóhomok foltok.
"	 COMBAT_SPELL|LOCATION_TARGET
Aknásítás 	Aknásítás 	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Aknásítás}

Véletlenszerûen elhelyez négy aknát a csatamezõn, amik csak a varázsló és a terep lényei számára láthatók.  Ha egy lény belesétál, akkor annak sebzést okoz.
"	"{Alap Aknásítás}

Véletlenszerûen elhelyez négy aknát a csatamezõn, amik csak a varázsló és a terep lényei számára láthatók.  Ha egy lény belesétál, akkor annak sebzést okoz.
"	"{Haladó Aknásítás}

Véletlenszerûen elhelyez hat aknát a csatamezõn, amik csak a varázsló és a terep lényei számára láthatók.  Ha egy lény belesétál, akkor annak sebzést okoz.

A sebzett érték 25-tel nagyobb, mint az Alap Aknásításnak.
"	"{Mester Aknásítás}

Véletlenszerûen elhelyez nyolc aknát a csatamezõn, amik csak a varázsló és a terep lényei számára láthatók.  Ha egy lény belesétál, akkor annak sebzést okoz.

A sebzett érték 75-tel nagyobb, mint a Haladó Aknásításnak.
"	 COMBAT_SPELL|LOCATION_TARGET
Erõtér	Erõtér	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Erõtér}

Elhelyez egy kisebb Erõteret 2 körig a csatamezõn oda, ahova a varázsló kívánja. 
"	"{Alap Erõtér}

Elhelyez egy kisebb Erõteret a csatamezõn oda, ahova a varázsló kívánja. 
"	"{Haladó Erõtér}

Elhelyez egy közepes méretû Erõteret a csatamezõn oda, ahova a varázsló kívánja. 
"	"{Mester Erõtér}

Elhelyez 2 körig egy nagyobb Erõteret a csatamezõn oda, ahova a varázsló kívánja. 
"	 COMBAT_SPELL|LOCATION_TARGET
Tûz Fal	Tûz Fal	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Tûz Fal}

Elhelyez egy kisebb futótüzet 2 körig a csatamezõn oda, ahova a varázsló kívánja. Az összes lény, aki ezen áthalad sérül.
"	"{Alap Tûz Fal}

Elhelyez egy kisebb futótüzet a csatamezõn oda, ahova a varázsló kívánja. Az összes lény, aki ezen áthalad sérül.
"	"{Haladó Tûz Fal}

Elhelyez egy közepes méretû futótüzet a csatamezõn oda, ahova a varázsló kívánja. Az összes lény, aki ezen áthalad sérül.
"	"{Mester Tûz Fal}

Elhelyez 2 körig egy nagyobb futótüzet a csatamezõn oda, ahova a varázsló kívánja. Az összes lény, aki ezen áthalad sérül.
"	 COMBAT_SPELL|LOCATION_TARGET
Földrengés	Földrengés	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Földrengés}

Véletlenszerûen kárt okoz a kastély falának két részén.
"	"{Alap Földrengés}

Véletlenszerûen kárt okoz a kastély falának két részén.
"	"{Haladó Földrengés}

Véletlenszerûen kárt okoz a kastély falának három részén.
"	"{Mester Földrengés}

Véletlenszerûen kárt okoz a kastély falának négy részén.
"	 COMBAT_SPELL
Varázsnyíl	Varázsnyíl	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Varázsnyíl}

Varázslatos energiákkal sérülést okoz a kijelölt ellenfelen.
"	"{Alap Varázsnyíl}

Varázslatos energiákkal sérülést okoz a kijelölt ellenfelen.
"	"{Haladó Varázsnyíl}

Varázslatos energiákkal sérülést okoz a kijelölt ellenfelen.

10-zel több sebzést okoz, mint az Alap Varázsnyíl.
"	"{Mester Varázsnyíl}

Varázslatos energiákkal sérülést okoz a kijelölt ellenfelen.

20-szal több sebzést okoz, mint az Alap Varázsnyíl.
"	 COMBAT_SPELL|CREATURE_TARGET
Jégcsapás	Jégcsapás	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Jégcsapás}

Lecsökkenti a kiválasztott ellenséges egység testhõmérsékletét, ezáltal sebzést okoz neki.
"	"{Alap Jégcsapás}

Lecsökkenti a kiválasztott ellenséges egység testhõmérsékletét, ezáltal sebzést okoz neki.
"	"{Haladó Jégcsapás}

Lecsökkenti a kiválasztott ellenséges egység testhõmérsékletét, ezáltal sebzést okoz neki.

10-zel több sebzést okoz, mint az Alap Jégcsapás.
"	"{Mester Jégcsapás}

Lecsökkenti a kiválasztott ellenséges egység testhõmérsékletét, ezáltal sebzést okoz neki.

40-nel több sebzést okoz, mint a Haladó Jégcsapás.
"	 COMBAT_SPELL|CREATURE_TARGET
Villámcsapás	Villámcsapás	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Villámcsapás}

A villámcsapás sebzi a kiválasztott egységet.
"	"{Alap Villámcsapás}

A villámcsapás sebzi a kiválasztott egységet.
"	"{Haladó Villámcsapás}

A villámcsapás sebzi a kiválasztott egységet.

10-zel több sebzést okoz, mint az Alap Villámcsapás.
"	"{Mester Villámcsapás}

A villámcsapás sebzi a kiválasztott egységet.

40-nel több sebzést okoz, mint az Alap Villámcsapás.
"	 COMBAT_SPELL|CREATURE_TARGET
Összeomlás	Összeomlás	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Összeomlás}

Súlyos sérüléseket okoz a kiválasztott egységeken.
"	"{Alap Összeomlás}

Súlyos sérüléseket okoz a kiválasztott egységeken.
"	"{Haladó Összeomlás}

Súlyos sérüléseket okoz a kiválasztott egységeken.

100-zal több sebzést okoz, mint az Alap Összeomlás.
"	"{Mester Összeomlás}

Súlyos sérüléseket okoz a kiválasztott egységeken.

200-zal több sebzést okoz, mint az Alap Összeomlás.
"	 COMBAT_SPELL|CREATURE_TARGET
Láncvillám	Láncvillám	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Láncvillám}

A Láncvillám az elsõ célpontra teljes sebzést mér, a másodikra ennek felét, a harmadikra a negyedét, a negyedikre a nyolcadát.
"	"{Alap Láncvillám}

A Láncvillám az elsõ célpontra teljes sebzést mér, a másodikra ennek felét, a harmadikra a negyedét, a negyedikre a nyolcadát, az ötödikre a tizenhatodát.
"	"{Haladó Láncvillám}

A Láncvillám az elsõ célpontra teljes sebzést mér, a másodikra ennek felét, a harmadikra a negyedét, a negyedikre a nyolcadát, az ötödikre a tizenhatodát.

25-tel több sebzést okoz, mint az Alap Láncvillám.
"	"{Mester Láncvillám}

A Láncvillám az elsõ célpontra teljes sebzést mér, a másodikra ennek felét, a harmadikra a negyedét, a negyedikre a nyolcadát, az ötödikre a tizenhatodát.

75-tel több sebzést okoz, mint az Alap Láncvillám.
"	 COMBAT_SPELL|CREATURE_TARGET
Fagy Gyûrû	Fagy Gyûrû	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Fagy Gyûrû}

Lecsökkenti a kiválasztott ellenséges egység területében lévõ lények testhõmérsékletét.
"	"{Alap Fagy Gyûrû}

Lecsökkenti a kiválasztott ellenséges egység területében lévõ lények testhõmérsékletét.
"	"{Haladó Fagy Gyûrû}

Lecsökkenti a kiválasztott ellenséges egység területében lévõ lények testhõmérsékletét.

15-tel több sebzést okoz, mint az Alap Fagy Gyûrû.
"	"{Mester Fagy Gyûrû}

Lecsökkenti a kiválasztott ellenséges egység területében lévõ lények testhõmérsékletét.

45-tel több sebzést okoz, mint az Alap Fagy Gyûrû.
"	 COMBAT_SPELL|LOCATION_TARGET
Tûzlabda	Tûzlabda	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Tûzlabda}

A kiválasztott cél lángra lobban és a tûz sebzést okoz a célpont közelében álló lényeken is.
"	"{Alap Tûzlabda}

A kiválasztott cél lángra lobban és a tûz sebzést okoz a célpont közelében álló lényeken is.
"	"{Haladó Tûzlabda}

A kiválasztott cél lángra lobban és a tûz sebzést okoz a célpont közelében álló lényeken is.

15-tel több sebzést okoz, mint az Alap Tûzlabda.
"	"{Mester Tûzlabda}

A kiválasztott cél lángra lobban és a tûz sebzést okoz a célpont közelében álló lényeken is.

45-tel több sebzést okoz, mint az Alap Tûzlabda.
"	 COMBAT_SPELL|LOCATION_TARGET
Pokoltûz 	Pokoltûz 	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Pokoltûz}

A Pokoltûz egy nagy körben okoz sebzést. Próbálj meg nem a közelben lenni!
"	"{Alap Pokoltûz}

A Pokoltûz egy nagy körben okoz sebzést. Próbálj meg nem a közelben lenni!
"	"{Haladó Pokoltûz}

A Pokoltûz egy nagy körben okoz sebzést. Próbálj meg nem a közelben lenni!

20-szal több sebzést okoz, mint az Alap Pokoltûz.
"	"{Mester Pokoltûz}

A Pokoltûz egy nagy körben okoz sebzést. Próbálj meg nem a közelben lenni!

60-nal több sebzést okoz, mint az Alap Pokoltûz.
"	 COMBAT_SPELL|LOCATION_TARGET
Meteorzápor	Meteorzápor	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Meteorzápor}

A kiválasztott területre meteorzápor zúdul.
"	"{Alap Meteorzápor}

A kiválasztott területre meteorzápor zúdul.
"	"{Haladó Meteorzápor}

A kiválasztott területre meteorzápor zúdul.

25-tel több sebzést okoz, mint az Alap Meteorzápor.
"	"{Mester Meteorzápor}

A kiválasztott területre meteorzápor zúdul.

75-tel több sebzést okoz, mint az Alap Meteorzápor.
"	 COMBAT_SPELL|LOCATION_TARGET
Halál Fodrok 	Halál Fodrok 	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Halál Fodrok}

A Halál Fodrok minden nem-halott egységben sebzést okoznak a csatamezõn.
"	"{Alap Halál Fodrok}

A Halál Fodrok minden nem-halott egységben sebzést okoznak a csatamezõn.
"	"{Haladó Halál Fodrok}

A Halál Fodrok minden nem-halott egységben sebzést okoznak a csatamezõn.

10-zel több sebzést okoz az Alap Halál Fodroknál.
"	"{Mester Halál Fodrok}

A Halál Fodrok minden nem-halott egységben sebzést okoznak a csatamezõn.

20-szal több sebzést okoz az Alap Halál Fodroknál.
"	 COMBAT_SPELL
Élõhalott Ölõ 	Élõhalott Ölõ 	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Élõhalott Ölõ}

Megkísérli megölni az összes élõhalottat a csatamezõn.
"	"{Alap Élõhalott Ölõ}

Megkísérli megölni az összes élõhalottat a csatamezõn.
"	"{Haladó Élõhalott Ölõ}

Megkísérli megölni az összes élõhalottat a csatamezõn.

10-zel több sebzést okoz az Alap Élõhalott Ölõnél.
"	"{Mester Élõhalott Ölõ}

Megkísérli megölni az összes élõhalottat a csatamezõn.

40-nel több sebzést okoz az Alap Élõhalott Ölõnél.
"	 COMBAT_SPELL
Armageddon	Armageddon	4	 	 	x	 	24	20	20	20	40	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Armageddon}

Az Armageddon olyan halálos viharfelhõket idéz meg, mely a csatatéren lévõ összes sereget megsebzi. 
"	"{Alap Armageddon}

Az Armageddon olyan halálos viharfelhõket idéz meg, mely a csatatéren lévõ összes sereget megsebzi. 
"	"{Haladó Armageddon}

Az Armageddon olyan halálos viharfelhõket idéz meg, mely a csatatéren lévõ összes sereget megsebzi. 

30-cal több sebzést okoz, mint az Alap Armageddon.
"	"{Mester Armageddon}

Az Armageddon olyan halálos viharfelhõket idéz meg, mely a csatatéren lévõ összes sereget megsebzi. 

90-nel több sebzést okoz, mint az Alap Armageddon.
"	 COMBAT_SPELL
Pajzs	Pajzs	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Pajzs}

Megerõsíti a kiválasztott lény védekezõ képességét, csökkenti a közelharc során kapott ütések sebzését 15%-kal.
"	"{Alap Pajzs}

Megerõsíti a kiválasztott lény védekezõ képességét, csökkenti a közelharc során kapott ütések sebzését 15%-kal.
"	"{Haladó Pajzs}

Megerõsíti a kiválasztott lény védekezõ képességét, csökkenti a közelharc során kapott ütések sebzését 30%-kal.

A védelem az Alap Pajzsnál kétszer erõsebb.
"	"{Mester Pajzs}

Megerõsíti az összes baráti lény védekezõ képességét, csökkenti a közelharc során kapott ütések sebzését 30%-kal.

A védelem az Alap Pajzsnál kétszer erõsebb.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Levegõ Pajzs	Levegõ Pajzs	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Levegõ Pajzs}

Megerõsíti a kiválasztott lény védekezõ képességét, csökkenti a távolsági lövések során kapott sebzések értékét 25%-kal.
"	"{Alap Levegõ Pajzs}

Megerõsíti a kiválasztott lény védekezõ képességét, csökkenti a távolsági lövések során kapott sebzések értékét 25%-kal.
"	"{Haladó Levegõ Pajzs}

Megerõsíti a kiválasztott lény védekezõ képességét, csökkenti a távolsági lövések során kapott sebzések értékét 50%-kal.

A védelem az Alap Levegõ Pajzsnál kétszer erõsebb.
"	"{Mester Levegõ Pajzs}

Megerõsíti az összes baráti lény védekezõ képességét, csökkenti a távolsági lövések során kapott sebzések értékét 50%-kal.

A védelem az Alap Levegõ Pajzsnál kétszer erõsebb.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Tûz Pajzs	Tûz Pajzs	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Tûz Pajzs}

Tûz sebzéssel minden olyan egységet sebez, az okozott sebzés 20%-kával, aki a célt közelharccal megtámadja."	"{Alap Tûz Pajzs}

Tûz sebzéssel minden olyan egységet sebez, az okozott sebzés 20%-kával, aki a célt közelharccal megtámadja.
"	"{Haladó Tûz Pajzs}

Tûz sebzéssel minden olyan egységet sebez, az okozott sebzés 20%-kával, aki a célt közelharccal megtámadja.

5%-kal nagyobb sebzést okoz, mint az Alap Tûz Pajzs
"	"{Mester Tûz Pajzs}

Tûz sebzéssel minden olyan egységet sebez, az okozott sebzés 30%-kával, aki a célt közelharccal megtámadja.


"	 COMBAT_SPELL|CREATURE_TARGET
Levegõ Hárító	Levegõ Hárító	2		 	 	x	7	5	5	5	0	50	50	25	25	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Levegõ Hárító}

Megvédi a kiválasztott egységet, csökkenti a Levegõ varázslatok sebzését 50%-kal.
"	"{Alap Levegõ Hárító}

Megvédi a kiválasztott egységet, csökkenti a Levegõ varázslatok sebzését 50%-kal.
"	"{Haladó Levegõ Hárító}

Megvédi a kiválasztott egységet, csökkenti a Levegõ varázslatok sebzését 75%-kal.

Megvédi a kiválasztott egységet, csökkenti a Levegõ varázslatok sebzését 50%-kal.
"	"{Mester Levegõ Hárító}

Megvédi az összes baráti egységet, csökkenti a Levegõ varázslatok sebzését 75%-kal.

A védelem közel kétszerese az Alap Levegõ Hárítónak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Tûz Hárító	Tûz Hárító	1	 		x	 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Tûz Hárító}

Megvédi a kiválasztott egységet, csökkenti a Tûz varázslatok sebzését 50%-kal.
"	"{Alap Tûz Hárító}

Megvédi a kiválasztott egységet, csökkenti a Tûz varázslatok sebzését.
"	"{Haladó Tûz Hárító}

Megvédi a kiválasztott egységet, csökkenti a Tûz varázslatok sebzését 75%-kal.

A védelem közel kétszerese az Alap Tûz Hárítónak.
"	"{Mester Tûz Hárító}

Megvédi az összes baráti egységet, csökkenti a Tûz varázslatok sebzését 75%-kal.

A védelem közel kétszerese az Alap Tûz Hárítónak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Víz Hárító	Víz Hárító	1	 	x		 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Víz Hárító}

Megvédi a kiválasztott egységet, csökkenti a Víz varázslatok sebzését 50%-kal.
"	"{Alap Víz Hárító}

Megvédi a kiválasztott egységet, csökkenti a Víz varázslatok sebzését.
"	"{Haladó Víz Hárító}

Megvédi a kiválasztott egységet, csökkenti a Víz varázslatok sebzését 75%-kal.

A védelem közel kétszerese az Alap Víz Hárítónak.
"	"{Mester Víz Hárító}

Megvédi az összes baráti egységet, csökkenti a Víz varázslatok sebzését 75%-kal.

A védelem közel kétszerese az Alap Víz Hárítónak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Föld Hárító	Föld Hárító	3	x	 	 		12	9	9	9	0	50	50	25	25	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Föld Hárító}

Megvédi a kiválasztott egységet, csökkenti a Föld varázslatok sebzését 50%-kal.
"	"{Alap Föld Hárító}

Megvédi a kiválasztott egységet, csökkenti a Föld varázslatok sebzését.
"	"{Haladó Föld Hárító}

Megvédi a kiválasztott egységet, csökkenti a Föld varázslatok sebzését 75%-kal.

A védelem közel kétszerese az Alap Föld Hárítónak.
"	"{Mester Föld Hárító}

Megvédi az összes baráti egységet, csökkenti a Föld varázslatok sebzését 75%-kal.

A védelem közel kétszerese az Alap Föld Hárítónak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Anti-mágia	Anti-mágia	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Anti-mágia}

Megvédi a kiválasztott egységet az összes alacsonyabb szintû varázslattól.
"	"{Alap Anti-mágia}

Megvédi a kiválasztott egységet az összes alacsonyabb szintû varázslattól.
"	"{Haladó Anti-mágia}

Megvédi a kiválasztott egységet az összes varázslattól, kivéve a legerõsebbektõl.
"	"{Mester Anti-mágia}

Megvédi a kiválasztott egységet az összes varázslattól.
"	 COMBAT_SPELL|CREATURE_TARGET
Eloszlatás	Eloszlatás	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Eloszlatás}

Az Eloszlatás minden, a célseregre helyezett varázslatot megszüntet.
"	"{Alap Eloszlatás}

Az Eloszlatás minden, a célseregre helyezett varázslatot megszüntet.
"	"{Haladó Eloszlatás}

Az Eloszlatás minden, a célseregre helyezett varázslatot megszüntet.
"	"{Mester Eloszlatás}

Az összes varázslatot megszünteti a csatamezõn.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Mágikus Tükör	Mágikus Tükör	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Mágikus Tükör}

A Mágikus Tükör az ártó varázslatot veri vissza az ellenség egy véletlenszerû lényére, 20%-os gyakorisággal.
"	"{Alap Mágikus Tükör}

A Mágikus Tükör az ártó varázslatot veri vissza az ellenség egy véletlenszerû lényére, 20%-os eséllyel.
"	"{Haladó Mágikus Tükör}

A Mágikus Tükör az ártó varázslatot veri vissza az ellenség egy véletlenszerû lényére, 30%-os eséllyel.
"	"{Mester Mágikus Tükör}

A Mágikus Tükör az ártó varázslatot veri vissza az ellenség egy véletlenszerû lényére, 40%-os eséllyel.
"	 COMBAT_SPELL|CREATURE_TARGET
