	Description		
Estates	"{Basic Estates}

With Estates, a hero contributes 250 gold per day to your cause."	"{Advanced Estates}

With Estates, a hero contributes 500 gold per day to your cause."	"{Expert Estates}

With Estates, a hero contributes 1000 gold per day to your cause."
Fire Magic	"{Basic Fire Magic}

Basic Fire Magic allows your hero to cast Fire spells at reduced cost."	"{Advanced Fire Magic}

Advanced Fire Magic allows your hero to cast Fire spells at reduced cost and increased effectiveness."	"{Expert Fire Magic}

Expert Fire Magic allows your hero to cast Fire spells at reduced cost and maximum effectiveness."
Air Magic	"{Basic Air Magic}

Basic Air Magic allows your hero to cast Air spells at reduced cost."	"{Advanced Air Magic}

Advanced Air Magic allows your hero to cast Air spells at reduced cost and increased effectiveness."	"{Expert Air Magic}

Expert Air Magic allows your hero to cast Air spells at reduced cost and maximum effectiveness."
Water Magic	"{Basic Water Magic}

Basic Water Magic allows your hero to cast Water spells at reduced cost."	"{Advanced Water Magic}

Advanced Water Magic allows your hero to cast Water spells at reduced cost and increased effectiveness."	"{Expert Water Magic}

Expert Water Magic allows your hero to cast Water spells at reduced cost and maximum effectiveness."
Earth Magic	"{Basic Earth Magic}

Basic Earth Magic allows your hero to cast Earth spells at reduced cost."	"{Advanced Earth Magic}

Advanced Earth Magic allows your hero to cast Earth spells at reduced cost and increased effectiveness."	"{Expert Earth Magic}

Expert Earth Magic allows your hero to cast Earth spells at reduced cost and maximum effectiveness."
Scholar	"{Basic Scholar}

Basic Scholar allows heroes to teach each other 1st and 2nd level spells, effectively trading spells between spell books."	"{Advanced Scholar}

Advanced Scholar allows heroes to teach each other any spell up to 3rd level, effectively trading spells between spell books."	"{Expert Scholar}

Expert Scholar allows heroes to teach each other any spell up to 4th level, effectively trading spells between spell books."
Tactics	"{Basic Tactics}

Basic Tactics allows you to rearrange your troops just before combat, within three hex rows of the commanding hero. Blocks one level of enemy's Tactics."	"{Advanced Tactics}

Advanced Tactics allows you to rearrange your troops just before combat, within five hex rows of the commanding hero. Blocks two levels of enemy's Tactics."	"{Expert Tactics}

Expert Tactics allows you to rearrange your troops just before combat, within seven hex rows of the commanding hero. Blocks enemy's Tactics skill."
Artillery	"{Basic Artillery}

Basic Artillery gives the hero control of the ballista, arrow towers and the cannon. The ballista has a 50% chance to inflict +100% damage. The cannon has an increased chance to hit the fortifications. The skill protects ballista and cannon, preventing over 40% of hit points loss from a single hit."	"{Advanced Artillery}

Advanced Artillery gives the hero control of the ballista, arrow towers and the cannon. The ballista shoots twice and has a 75% chance to inflict +100% damage. The cannon inflicts +100% damage and has an increased chance to hit the fortifications. The skill protects ballista and cannon, preventing over 40% of hit points loss from a single hit."	"{Expert Artillery}

Expert Artillery gives the hero control of the ballista, arrow towers and the cannon. The ballista shoots twice and inflicts +100% damage. The cannon inflicts +200% damage and shoot to fortifications precisely at maximum damage. The skill protects ballista and cannon, preventing over 40% of hit points loss from a single hit."
Learning	"{Basic Learning}

Basic Learning increases a hero's earned experience by 25%. Getting this skill, hero gets an additional level up immediately."	"{Advanced Learning}

Advanced Learning increases a hero's earned experience by 50%. Improving this skill, hero gets an additional level up immediately."	"{Expert Learning}

Expert Learning increases a hero's earned experience by 75%. Improving this skill, hero gets an additional level up immediately."
Offense	"{Basic Offense}

Basic Offense increases all hand-to-hand damage inflicted by the hero's troops by 10%."	"{Advanced Offense}

Advanced Offense increases all hand-to-hand damage inflicted by the hero's troops by 20%."	"{Expert Offense}

Expert Offense increases all hand-to-hand damage inflicted by the hero's troops by 30%."
Armorer	"{Basic Armorer}

Basic Armorer reduces all damage inflicted by enemy troops against the hero's troops by 5%."	"{Advanced Armorer}

Advanced Armorer reduces all damage inflicted by enemy troops against the hero's troops by 10%."	"{Expert Armorer}

Expert Armorer reduces all damage inflicted by enemy troops against the hero's troops by 15%."
Intelligence	"{Basic Intelligence}

Basic Intelligence increases a hero's normal maximum spell points by 20%."	"{Advanced Intelligence}

Advanced Intelligence increases a hero's normal maximum spell points by 35%."	"{Expert Intelligence}

Expert Intelligence increases a hero's normal maximum spell points by 50%."
Sorcery	"{Basic Sorcery}

Basic Sorcery causes a hero's spells to inflict an additional 10% damage in combat."	"{Advanced Sorcery}

Advanced Sorcery causes a hero's spells to inflict an additional 20% damage in combat."	"{Expert Sorcery}

Expert Sorcery causes a hero's spells to inflict an additional 30% damage in combat."
Resistance	"{Basic Resistance}

Basic Resistance increases your chance to resist a hostile spell by 5%."	"{Advanced Resistance}

Advanced Resistance  increases your chance to resist a hostile spell by 10%."	"{Expert Resistance}

Expert Resistance increases your chance to resist a hostile spell by 20%."
First Aid	"{Basic First Aid}

Basic First Aid gives control of the first aid tent to the hero, healing 40–50 points of damage to the first unit of the selected stack. First aid tent gives all hero's creatures a 5% bonus to their health. The skill protects first aid tent, preventing over 40% of hit points loss from a single hit."	"{Advanced First Aid}

Advanced First Aid gives control of the first aid tent to the hero, healing 60–75 points of damage to the first unit of the selected stack. First aid tent gives all hero's creatures a 10% bonus to their health. The skill protects first aid tent, preventing over 40% of hit points loss from a single hit."	"{Expert First Aid}

Expert First Aid gives control of the first aid tent to the hero, healing 80–100 points of damage to the first unit of the selected stack. First aid tent gives all hero's creatures a 15% bonus to their health. The skill protects first aid tent, preventing over 40% of hit points loss from a single hit."
