			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Repülés	Repülés	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Repülés}

A Repülés varázslattal a hõsödnek lehetõsége lesz a pálya akadályai felett átrepülni 40% mozgás büntetéssel.
"	"{Alap Repülés}

A Repülés varázslattal a hõsödnek lehetõsége lesz a pálya akadályai felett átrepülni 40% mozgás büntetéssel.
"	"{Haladó Repülés}

A Repülés varázslattal a hõsödnek lehetõsége lesz a pálya akadályai felett átrepülni 20% mozgás büntetéssel.
"	"{Mester Repülés}

A Repülés varázslattal a hõsödnek lehetõsége lesz a pálya akadályai felett átrepülni. Az összes mozgáspontod felhasználhatod.
"	 ADV_SPELL
Vízen Járás	Vízen Járás	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Vízen járás}

A Vízen Járás varázslattal a hõseid mozgáspontjaik egy részét felhasználhatják arra, hogy átlovagolhassanak a vízen 40% mozgás büntetéssel. A mozgást a szárazföldön kell befejezned.
"	"{Alap Vízen Járás}

A Vízen Járás varázslattal a hõseid mozgáspontjaik egy részét felhasználhatják arra, hogy átlovagolhassanak a vízen 40% mozgás büntetéssel. A mozgást a szárazföldön kell befejezned.
"	"{Haladó Vízen Járás}

A Vízen Járás varázslattal a hõseid mozgáspontjaik egy részét felhasználhatják arra, hogy átlovagolhassanak a vízen 20% mozgás büntetéssel. A mozgást a szárazföldön kell befejezned.
"	"{Mester Vízen Járás}

A Vízen Járás varázslattal a hõseid átlovagolhatnak a vízen. Az összes mozgáspont felhasználható rá. A mozgást a szárazföldön kell befejezni.
"	 ADV_SPELL
Dimenzió Kapu	Dimenzió Kapu	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Dimenzió Kapu}

A Dimenzió Kapu varázslattal naponta átteleportálhatod a hõsödet  a kaland térkép egy másik pontjára. 300 mozgáspontba kerül.
"	"{Alap Dimenzió Kapu}

A Dimenzió Kapu varázslattal naponta átteleportálhatod a hõsödet  a kaland térkép egy másik pontjára. 300 mozgáspontba kerül.
"	"{Haladó Dimenzió Kapu}

A Dimenzió Kapu varázslattal naponta 3 alkalommal átteleportálhatod a hõsödet  a kaland térkép egy másik pontjára. 300 mozgáspontba kerül.
"	"{Mester Dimenzió Kapu}

A Dimenzió Kapu varázslattal naponta 4 alkalommal átteleportálhatod a hõsödet  a kaland térkép egy másik pontjára. 200 mozgáspontba kerül.
"	 ADV_SPELL
Várkapu	Várkapu	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Várkapu}

A Várkapu varázslat a hõsödet a legközelebbi váradba helyezi. 300 mozgáspontba kerül.
"	"{Alap Várkapu}

A Várkapu varázslat a hõsödet a legközelebbi váradba helyezi. 300 mozgáspontba kerül.
"	"{Haladó Várkapu}

A Várkapu varázslat a hõsödet a legközelebbi váradba helyezi. 300 mozgáspontba kerül.
"	"{Mester Várkapu}

A Várkapu varázslat a hõsödet a legközelebbi váradba helyezi. 200 mozgáspontba kerül.
"	 ADV_SPELL
																																	
Harci Varázslatok																																	
																																	
Futóhomok	Futóhomok	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Futóhomok}

A Futóhomok varázslat véletlenszerûen elhelyez négy kicsi futóhomok foltot a csatamezõn, amik csak a varázsló és a terep egységei számára láthatók.  Ha egy egység belesétál ebbe, akkor annak a mozgása befejezõdik (az adott körben) és mindenki számára láthatóvá válnak a futóhomok foltok.
"	"{Alap Futóhomok}

A Futóhomok varázslat véletlenszerûen elhelyez négy kicsi futóhomok foltot a csatamezõn, amik csak a varázsló és a terep egységei számára láthatók.  Ha egy egység belesétál ebbe, akkor annak a mozgása befejezõdik (az adott körben) és mindenki számára láthatóvá válnak a futóhomok foltok.
"	"{Haladó Futóhomok}

A Futóhomok varázslat véletlenszerûen elhelyez hat kicsi futóhomok foltot a csatamezõn, amik csak a varázsló és a terep egységei számára láthatók.  Ha egy egység belesétál ebbe, akkor annak a mozgása befejezõdik (az adott körben) és mindenki számára láthatóvá válnak a futóhomok foltok.
"	"{Mester Futóhomok}

A Futóhomok varázslat véletlenszerûen elhelyez nyolc kicsi futóhomok foltot a csatamezõn, amik csak a varázsló és a terep egységei számára láthatók.  Ha egy egység belesétál ebbe, akkor annak a mozgása befejezõdik (az adott körben) és mindenki számára láthatóvá válnak a futóhomok foltok.
"	 COMBAT_SPELL|LOCATION_TARGET
Aknásítás	Aknásítás	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Aknásítás}

Az Aknásítás varázslat véletlenszerûen elhelyez négy aknát a csatamezõn, amik csak a varázsló és a terep egységei számára láthatóak.  Ha egy egység belesétál, akkor annak sebzést okoz (Varázserõ x 10 + 25), amely egység nem látja, és eltûnik. Ellenkezõ esetben az aknák mûködési idõtartama korlátlan.
"	"{Alap Aknásítás}

Az Aknásítás varázslat véletlenszerûen elhelyez négy aknát a csatamezõn, amik csak a varázsló és a terep egységei számára láthatóak.  Ha egy egység belesétál, akkor annak sebzést okoz (Varázserõ x 10 + 25), amely egység nem látja, és eltûnik. Ellenkezõ esetben az aknák mûködési idõtartama korlátlan.
"	"{Haladó Aknásítás}

Az Aknásítás varázslat véletlenszerûen elhelyez hat aknát a csatamezõn, amik csak a varázsló és a terep egységei számára láthatóak.  Ha egy egység belesétál, akkor annak sebzést okoz (Varázserõ x 10 + 50), amely egység nem látja, és eltûnik. Ellenkezõ esetben az aknák mûködési idõtartama korlátlan.
"	"{Mester Aknásítás}

Az Aknásítás varázslat véletlenszerûen elhelyez hat aknát a csatamezõn, amik csak a varázsló és a terep egységei számára láthatóak.  Ha egy egység belesétál, akkor annak sebzést okoz (Varázserõ x 10 + 50), amely egység nem látja, és eltûnik. Ellenkezõ esetben az aknák mûködési idõtartama korlátlan.
"	 COMBAT_SPELL|LOCATION_TARGET
Erõtér	Erõtér	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Erõtér}

Az Erõtér varázslat elhelyez egy kisebb 2 hexarácsnyi erõteret 2 körig a csatamezõn oda, ahova a varázsló kívánja. A mozgás ezeken a hexarácsokon keresztül le van tiltva.
"	"{Alap Erõtér}

Az Erõtér varázslat elhelyez egy kisebb 2 hexarácsnyi erõteret 2 körig a csatamezõn oda, ahova a varázsló kívánja. A mozgás ezeken a hexarácsokon keresztül le van tiltva.
"	"{Haladó Erõtér}

Az Erõtér varázslat elhelyez egy kisebb 3 hexarácsnyi erõteret 2 körig a csatamezõn oda, ahova a varázsló kívánja. A mozgás ezeken a hexarácsokon keresztül le van tiltva.
"	"{Mester Erõtér}

Az Erõtér varázslat elhelyez egy kisebb 3 hexarácsnyi erõteret 2 körig a csatamezõn oda, ahova a varázsló kívánja. A mozgás ezeken a hexarácsokon keresztül le van tiltva.
"	 COMBAT_SPELL|LOCATION_TARGET
Tûz Fal	Tûz Fal	2	 	 	x	 	8	6	6	6	15	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Tûz Fal}

A Tûz Fal varázslat elhelyez egy kisebb 2 hexarácsnyi futótüzet 2 körig a csatamezõn oda, ahová szeretnénk. Az összes egység, aki ezen áthalad (Varázserõ x 15 + 10) értéket sérül.
"	"{Alap Tûz Fal}

A Tûz Fal varázslat elhelyez egy kisebb 2 hexarácsnyi futótüzet 2 körig a csatamezõn oda, ahová szeretnénk. Az összes egység, aki ezen áthalad (Varázserõ x 15 + 10) értéket sérül.
"	"{Haladó Tûz fal}

A Tûz Fal varázslat elhelyez egy kisebb 3 hexarácsnyi futótüzet 2 körig a csatamezõn oda, ahová szeretnénk. Az összes egység, aki ezen áthalad (Varázserõ x 15 + 20) értéket sérül.
"	"{Mester Tûz Fal}

A Tûz Fal varázslat elhelyez egy kisebb 3 hexarácsnyi futótüzet 2 körig a csatamezõn oda, ahová szeretnénk. Az összes egység, aki ezen áthalad (Varázserõ x 15 + 50) értéket sérül.
"	 COMBAT_SPELL|LOCATION_TARGET
Földrengés	Földrengés	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Földrengés}

A Földrengés varázslat véletlenszerûen kárt okoz a kastély falának, kapujának vagy tornyának két részén.
"	"{Alap Földrengés}

A Földrengés varázslat véletlenszerûen kárt okoz a kastély falának, kapujának vagy tornyának két részén.
"	"{Haladó Földrengés}

A Földrengés varázslat véletlenszerûen kárt okoz a kastély falának, kapujának vagy tornyának három részén.
"	"{Mester Földrengés}

A Földrengés varázslat véletlenszerûen kárt okoz a kastély falának, kapujának vagy tornyának négy részén.
"	 COMBAT_SPELL
Varázsnyíl	Varázsnyíl	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Varázsnyíl}

A Varázsnyíl varázslat egy mágikus energia csapást okoz a kiválasztott ellenséges egységnek. (Varázserõ x 10 + 10) sebzést okoz.
"	"{Alap Varázsnyíl}

A Varázsnyíl varázslat egy mágikus energia csapást okoz a kiválasztott ellenséges egységnek. (Varázserõ x 10 + 10) sebzést okoz.
"	"{Haladó Varázsnyíl}

A Varázsnyíl varázslat egy mágikus energia csapást okoz a kiválasztott ellenséges egységnek. (Varázserõ x 10 + 20) sebzést okoz.
"	"{Mester Varázsnyíl}

A Varázsnyíl varázslat egy mágikus energia csapást okoz a kiválasztott ellenséges egységnek. (Varázserõ x 10 + 30) sebzést okoz.
"	 COMBAT_SPELL|CREATURE_TARGET
Jégcsapás	Jégcsapás	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Jégcsapás}

A Jégcsapás varázslat lecsökkenti a kiválasztott ellenséges egység testhõmérsékletét. (Varázserõ x 20 + 10) sebzést okoz.
"	"{Alap Jégcsapás}

A Jégcsapás varázslat lecsökkenti a kiválasztott ellenséges egység testhõmérsékletét. (Varázserõ x 20 + 10) sebzést okoz.
"	"{Haladó Jégcsapás}

A Jégcsapás varázslat lecsökkenti a kiválasztott ellenséges egység testhõmérsékletét. (Varázserõ x 20 + 20) sebzést okoz.
"	"{Mester Jégcsapás}

A Jégcsapás varázslat lecsökkenti a kiválasztott ellenséges egység testhõmérsékletét. (Varázserõ x 20 + 50) sebzést okoz.
"	 COMBAT_SPELL|CREATURE_TARGET
Villámcsapás	Villámcsapás	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Villámcsapás}

A Villámcsapás varázslat sebzi a kiválasztott egységet. (Varázserõ x 25 + 10) sebzést okoz.
"	"{Alap Villámcsapás}

A Villámcsapás varázslat sebzi a kiválasztott egységet. (Varázserõ x 25 + 10) sebzést okoz.
"	"{Haladó Villámcsapás}

A Villámcsapás varázslat sebzi a kiválasztott egységet. (Varázserõ x 25 + 20) sebzést okoz.
"	"{Mester Villámcsapás}

A Villámcsapás varázslat sebzi a kiválasztott egységet. (Varázserõ x 25 + 50) sebzést okoz.
"	 COMBAT_SPELL|CREATURE_TARGET
Összeomlás	Összeomlás	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Összeomlás}

Az Összeomlás varázslatot egyetlen ellenséges egységre helyezve okoz (Varázserõ x 75 + 100) súlyos sérülést. A sérülés nem érinti a hadi gépeket.
"	"{Alap Összeomlás}

Az Összeomlás varázslatot egyetlen ellenséges egységre helyezve okoz (Varázserõ x 75 + 100) súlyos sérülést. A sérülés nem érinti a hadi gépeket.
"	"{Haladó Összeomlás}

Az Összeomlás varázslatot egyetlen ellenséges egységre helyezve okoz (Varázserõ x 75 + 200) súlyos sérülést. A sérülés nem érinti a hadi gépeket.
"	"{Mester Összeomlás}

Az Összeomlás varázslatot egyetlen ellenséges egységre helyezve okoz (Varázserõ x 75 + 300) súlyos sérülést. A sérülés nem érinti a hadi gépeket.
"	 COMBAT_SPELL|CREATURE_TARGET
Láncvillám	Láncvillám	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Láncvillám}

A Láncvillám varázslat az elsõ célpontra teljes (Varázserõ x 40 + 25) sebzést mér, a másodikra ennek felét, a harmadikra a negyedét, a negyedikre a nyolcadát. Négy egységet üt.
"	"{Alap Láncvillám}

A Láncvillám varázslat az elsõ célpontra teljes (Varázserõ x 40 + 25) sebzést mér, a másodikra ennek felét, a harmadikra a negyedét, a negyedikre a nyolcadát. Négy egységet üt.
"	"{Haladó Láncvillám}

A Láncvillám varázslat az elsõ célpontra teljes (Varázserõ x 40 + 50) sebzést mér, a másodikra ennek felét, a harmadikra a negyedét, a negyedikre a nyolcadát. Öt egységet üt.
"	"{Mester Láncvillám}

A Láncvillám varázslat az elsõ célpontra teljes (Varázserõ x 40 + 100) sebzést mér, a másodikra ennek felét, a harmadikra a negyedét, a negyedikre a nyolcadát. Öt egységet üt.
"	 COMBAT_SPELL|CREATURE_TARGET
Fagy Gyûrû	Fagy Gyûrû	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Fagy Gyûrû}

A Fagy Gyûrû varázslat lecsökkenti a kiválasztott ellenséges egység területe körrül lévõ egységek testhõmérsékletét (Varázserõ x 10 + 15) sebzést okozva. A hexarácsra nem tehetõ csak egységre a varázslat.
"	"{Alap Fagy Gyûrû}

A Fagy Gyûrû varázslat lecsökkenti a kiválasztott ellenséges egység területe körrül lévõ egységek testhõmérsékletét (Varázserõ x 10 + 15) sebzést okozva. A hexarácsra nem tehetõ csak egységre a varázslat.
"	"{Haladó Fagy Gyûrû}

A Fagy Gyûrû varázslat lecsökkenti a kiválasztott ellenséges egység területe körrül lévõ egységek testhõmérsékletét (Varázserõ x 10 + 30) sebzést okozva. A hexarácsra nem tehetõ csak egységre a varázslat.
"	"{Mester Fagy Gyûrû}

A Fagy Gyûrû varázslat lecsökkenti a kiválasztott ellenséges egység területe körrül lévõ egységek testhõmérsékletét (Varázserõ x 10 + 60) sebzést okozva. A hexarácsra nem tehetõ csak egységre a varázslat.
"	 COMBAT_SPELL|LOCATION_TARGET
Tûzlabda	Tûzlabda	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Tûzlabda}

A Tûzlabda varázslat a kiválasztott célt lángra lobbantja és (Varázserõ x 10 + 15) tûz sebzést okoz neki és a célpont közelében álló egységeken is.
"	"{Alap Tûzlabda}

A Tûzlabda varázslat a kiválasztott célt lángra lobbantja és (Varázserõ x 10 + 15) tûz sebzést okoz neki és a célpont közelében álló egységeken is.
"	"{Haladó Tûzlabda}

A Tûzlabda varázslat a kiválasztott célt lángra lobbantja és (Varázserõ x 10 + 30) tûz sebzést okoz neki és a célpont közelében álló egységeken is.
"	"{Mester Tûzlabda}

A Tûzlabda varázslat a kiválasztott célt lángra lobbantja és (Varázserõ x 10 + 60) tûz sebzést okoz neki és a célpont közelében álló egységeken is.
"	 COMBAT_SPELL|LOCATION_TARGET
Pokoltûz	Pokoltûz	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Pokoltûz}

A Pokoltûz varázslat hatalmas tûzrobbanást okoz, ami a kiválasztott célpontot és az 1 és 2 hexarácsnyira a célpont helyénél okoz detonációt. Minden egység (Varázserõ x 10 + 20) sebzést szenved. Próbálj meg nem a közelében lenni ennek!
"	"{Alap Pokoltûz}

A Pokoltûz varázslat hatalmas tûzrobbanást okoz, ami a kiválasztott célpontot és az 1 és 2 hexarácsnyira a célpont helyénél okoz detonációt. Minden egység (Varázserõ x 10 + 20) sebzést szenved. Próbálj meg nem a közelében lenni ennek!
"	"{Haladó Pokoltûz}

A Pokoltûz varázslat hatalmas tûzrobbanást okoz, ami a kiválasztott célpontot és az 1 és 2 hexarácsnyira a célpont helyénél okoz detonációt. Minden egység (Varázserõ x 10 + 40) sebzést szenved. Próbálj meg nem a közelében lenni ennek!
"	"{Mester Pokoltûz}

A Pokoltûz varázslat hatalmas tûzrobbanást okoz, ami a kiválasztott célpontot és az 1 és 2 hexarácsnyira a célpont helyénél okoz detonációt. Minden egység (Varázserõ x 10 + 80) sebzést szenved. Próbálj meg nem a közelében lenni ennek!
"	 COMBAT_SPELL|LOCATION_TARGET
Meteorzápor	Meteorzápor	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Meteorzápor}

A Meteorzápor varázslat meteorzáport zúdít a kiválasztott célpontra és a célponttal szomszédos bármely egységre. Minden egység sebzõdik (Varázserõ x 25 + 25) sebzést okoz.
"	"{Alap Meteorzápor}

A Meteorzápor varázslat meteorzáport zúdít a kiválasztott célpontra és a célponttal szomszédos bármely egységre. Minden egység sebzõdik (Varázserõ x 25 + 25) sebzést okoz.
"	"{Haladó Meteorzápor}

A Meteorzápor varázslat meteorzáport zúdít a kiválasztott célpontra és a célponttal szomszédos bármely egységre. Minden egység sebzõdik (Varázserõ x 25 + 50) sebzést okoz.
"	"{Mester Meteorzápor}

A Meteorzápor varázslat meteorzáport zúdít a kiválasztott célpontra és a célponttal szomszédos bármely egységre. Minden egység sebzõdik (Varázserõ x 25 + 100) sebzést okoz.
"	 COMBAT_SPELL|LOCATION_TARGET
Halál Fodrok	Halál Fodrok	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Halál Fodrok}

A Halál Fodrok varázslat átkúszik a csatatéren, amely az élõhalottak és a hadi gépek kivételével minden egységet megsebez, (Varázserõ x 5 + 10) sérülést okoz.
"	"{Alap Halál Fodrok}

A Halál Fodrok varázslat átkúszik a csatatéren, amely az élõhalottak és a hadi gépek kivételével minden egységet megsebez, (Varázserõ x 5 + 10) sérülést okoz.
"	"{Haladó Halál Fodrok}

A Halál Fodrok varázslat átkúszik a csatatéren, amely az élõhalottak és a hadi gépek kivételével minden egységet megsebez, (Varázserõ x 5 + 20) sérülést okoz.
"	"{Mester Halál Fodrok}

A Halál Fodrok varázslat átkúszik a csatatéren, amely az élõhalottak és a hadi gépek kivételével minden egységet megsebez, (Varázserõ x 5 + 30) sérülést okoz.
"	 COMBAT_SPELL
Élõhalott Ölõ	Élõhalott Ölõ	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Élõhalott Ölõ}

Az Élõhalott Ölõ varázslat megkísérli elpusztítani az összes élõholt egységet a csatatéren. Minden élõhalott egység (Varázserõ x 10 + 10) sebzést szenved.
"	"{Alap Élõhalott Ölõ}

Az Élõhalott Ölõ varázslat megkísérli elpusztítani az összes élõholt egységet a csatatéren. Minden élõhalott egység (Varázserõ x 10 + 10) sebzést szenved.
"	"{Haladó Élõhalott Ölõ}

Az Élõhalott Ölõ varázslat megkísérli elpusztítani az összes élõholt egységet a csatatéren. Minden élõhalott egység (Varázserõ x 10 + 20) sebzést szenved.
"	"{Mester Élõhalott Ölõ}

Az Élõhalott Ölõ varázslat megkísérli elpusztítani az összes élõholt egységet a csatatéren. Minden élõhalott egység (Varázserõ x 10 + 50) sebzést szenved.
"	 COMBAT_SPELL
Armageddon	Armageddon	4	 	 	x	 	24	20	20	20	40	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Armageddon}

Az Armageddon varázslat olyan halálos viharfelhõket és esõt idéz meg, mely a csatatéren lévõ összes seregen (Varázserõ x 40 + 30) sebzést okoz.
"	"{Alap Armageddon}

Az Armageddon varázslat olyan halálos viharfelhõket és esõt idéz meg, mely a csatatéren lévõ összes seregen (Varázserõ x 40 + 30) sebzést okoz.
"	"{Haladó Armageddon}

Az Armageddon varázslat olyan halálos viharfelhõket és esõt idéz meg, mely a csatatéren lévõ összes seregen (Varázserõ x 40 + 60) sebzést okoz.
"	"{Mester Armageddon}

Az Armageddon varázslat olyan halálos viharfelhõket és esõt idéz meg, mely a csatatéren lévõ összes seregen (Varázserõ x 40 + 120) sebzést okoz.
"	 COMBAT_SPELL
Pajzs	Pajzs	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Pajzs}

A Pajzs varázslat megerõsíti a kiválasztott egység védekezõ képességét, csökkentve a közelharc során kapott ütések sebzését 15%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Pajzs}

A Pajzs varázslat megerõsíti a kiválasztott egység védekezõ képességét, csökkentve a közelharc során kapott ütések sebzését 15%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Pajzs}

A Pajzs varázslat megerõsíti a kiválasztott egység védekezõ képességét, csökkentve a közelharc során kapott ütések sebzését 30%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Pajzs}

A Pajzs varázslat megerõsíti az összes egység védekezõ képességét, csökkentve a közelharc során kapott ütések sebzését 30%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Levegõ Pajzs	Levegõ Pajzs	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Levegõ Pajzs}

A Levegõ Pajzs varázslat megerõsíti a kiválasztott egység védekezõ képességét, csökkentve a távolsági lövések során kapott sebzések értékét 25%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Levegõ Pajzs}

A Levegõ Pajzs varázslat megerõsíti a kiválasztott egység védekezõ képességét, csökkentve a távolsági lövések során kapott sebzések értékét 25%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Levegõ Pajzs}

A Levegõ Pajzs varázslat megerõsíti a kiválasztott egység védekezõ képességét, csökkentve a távolsági lövések során kapott sebzések értékét 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Levegõ Pajzs}

A Levegõ Pajzs varázslat megerõsíti az összes egység védekezõ képességét, csökkentve a távolsági lövések során kapott sebzések értékét 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
